event_time,beta,se,z,n,omitted,outcome,spec
0,-0.2965758967459573,0.3712131845603684,-0.7989368618390944,1390,False,nonfirearm_suicide_rate,eb
1,0.006278467498079343,0.2974253456546698,0.02110938959912667,1390,False,nonfirearm_suicide_rate,eb
2,0.7167806679669098,0.5846100268159323,1.2260834318406106,1390,False,nonfirearm_suicide_rate,eb
3,0.6364854507139416,1.2557198548556243,0.5068689869422517,1390,False,nonfirearm_suicide_rate,eb
4,0.13340058413239358,0.12996603543472895,1.0264265097121434,1390,False,nonfirearm_suicide_rate,eb
5,-0.7787047832372878,0.45130134933044563,-1.7254652227222023,1390,False,nonfirearm_suicide_rate,eb
-5,0.24993088263479388,0.42193519235004434,0.5923442442493565,1390,False,total_suicide_rate,unweighted
-4,0.4646411508799922,0.4103655276359961,1.1322616535474195,1390,False,total_suicide_rate,unweighted
-3,-0.3808676720531143,0.45150120615227435,-0.8435584819338489,1390,False,total_suicide_rate,unweighted
-2,-0.11804845987280653,0.33659154783416506,-0.35071724359212875,1390,False,total_suicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,total_suicide_rate,unweighted
0,-0.015063501016941068,0.26535426931382455,-0.05676750954824861,1390,False,total_suicide_rate,unweighted
1,-0.02703729262514147,0.45015216584391315,-0.06006256256582457,1390,False,total_suicide_rate,unweighted
2,-0.46432341071624,0.17227066126100188,-2.6953133361040402,1390,False,total_suicide_rate,unweighted
3,0.896774893634379,0.6020091759919703,1.4896365859485508,1390,False,total_suicide_rate,unweighted
4,-0.7058045319204933,0.2923077493109497,-2.414593980434217,1390,False,total_suicide_rate,unweighted
5,0.14667242817771786,0.45571339374543846,0.3218523532350886,1390,False,total_suicide_rate,unweighted
-5,0.27355275727407735,0.44723101561570033,0.6116587350219413,1390,False,total_suicide_rate,ra
-4,0.4758359628971556,0.4212694315818743,1.1295288174847697,1390,False,total_suicide_rate,ra
-3,-0.3591834448793518,0.46428188742814946,-0.7736322579134377,1390,False,total_suicide_rate,ra
-2,-0.08598544038592373,0.33911475602323277,-0.2535585339731807,1390,False,total_suicide_rate,ra
-1,0.0,0.0,0.0,0,True,total_suicide_rate,ra
0,-0.042596697463960505,0.25125909904415683,-0.16953295473082336,1390,False,total_suicide_rate,ra
1,-0.03111007383118846,0.47274166937382806,-0.06580776742696585,1390,False,total_suicide_rate,ra
