outcome,spec,control_rule,event_time,att,se,n_cohorts,total_treated_counties,total_treated_states
county_murder_rate,ra,broad,-2,-0.2480612078026336,0.19997574981258437,7,266,8
county_murder_rate,ra,broad,0,-0.8220173049948829,0.1460838386122678,7,266,8
county_murder_rate,ra,broad,1,-1.5033099493161293,0.1666801056301639,7,266,8
county_murder_rate,ra,broad,2,-1.2844948600233448,0.17754455021506602,7,266,8
county_murder_rate,ra,broad,3,-0.7267625674663588,0.15680710885936916,7,266,8
county_murder_rate,ra,broad,4,-1.62094782048638,0.18008816131712252,6,242,7
county_murder_rate,ra,broad,5,-1.3029062154122797,0.25642436281485426,5,160,6
county_murder_rate,ra,strict,-5,-0.8123177517150979,0.1471563567538861,7,266,8
county_murder_rate,ra,strict,-4,-0.989431949685116,0.17368341746601007,7,266,8
county_murder_rate,ra,strict,-3,-0.7990894094531991,0.15151779356986622,7,266,8
county_murder_rate,ra,strict,-2,-0.2704935374958656,0.2177448483458511,7,266,8
county_murder_rate,ra,strict,0,-0.8738242684060687,0.16470246848759063,7,266,8
county_murder_rate,ra,strict,1,-1.5769241986250877,0.18465920941697456,7,266,8
county_murder_rate,ra,strict,2,-1.3889090686693515,0.19148545379882145,7,266,8
county_murder_rate,ra,strict,3,-0.8496527404981463,0.17614072918235604,7,266,8
county_murder_rate,ra,strict,4,-1.7421364285643914,0.202451800171267,6,242,7
county_murder_rate,ra,strict,5,-1.4653590300237649,0.287126268213781,5,160,6
county_property_crime_rate,or,broad,-5,-58.367028180296934,20.095930726872187,7,317,8
county_property_crime_rate,or,broad,-4,53.60613660240277,17.598239505823507,7,317,8
county_property_crime_rate,or,broad,-3,-71.85322923834758,16.797905571103207,7,317,8
county_property_crime_rate,or,broad,-2,-7.954317793244414,15.390015981938213,7,317,8
county_property_crime_rate,or,broad,0,-125.0063938331592,17.91382605384491,7,317,8
county_property_crime_rate,or,broad,1,-8.051999136364442,28.47813653177836,7,317,8
county_property_crime_rate,or,broad,2,26.056595343235678,22.72185011391941,7,317,8
county_property_crime_rate,or,broad,3,61.81729031007135,35.39730584670026,7,317,8
county_property_crime_rate,or,broad,4,68.64753470686222,29.08363586970178,6,293,7
county_property_crime_rate,or,broad,5,-55.74589109468538,28.62793358201128,5,160,6
county_property_crime_rate,or,strict,-5,-59.3829152511949,20.31426226604414,7,317,8
county_property_crime_rate,or,strict,-4,52.55573970131518,17.764331290873262,7,317,8
county_property_crime_rate,or,strict,-3,-72.07165877201794,16.98491800871565,7,317,8
county_property_crime_rate,or,strict,-2,-7.80547086501765,15.589139950512134,7,317,8
county_property_crime_rate,or,strict,0,-128.8457456139401,18.11044361794032,7,317,8
county_property_crime_rate,or,strict,1,-21.791455846894678,24.847959246885083,7,317,8
county_property_crime_rate,or,strict,2,21.710280541732494,23.42191662863414,7,317,8
county_property_crime_rate,or,strict,3,56.305987168476214,34.82226212916124,7,317,8
county_property_crime_rate,or,strict,4,63.866752802924026,29.195097667651222,6,293,7
county_property_crime_rate,or,strict,5,-57.323581901940045,29.244637645985772,5,160,6
county_property_crime_rate,ra,broad,-5,-160.16759912961612,16.446892291666895,7,266,8
county_property_crime_rate,ra,broad,-4,19.29864526462984,10.025979729790283,7,266,8
county_property_crime_rate,ra,broad,-3,-129.49959581374597,9.028721726722386,7,266,8
county_property_crime_rate,ra,broad,-2,-42.328634783218895,10.439889353471914,7,266,8
county_property_crime_rate,ra,broad,0,-96.64496606621194,10.587161646339778,7,266,8
county_property_crime_rate,ra,broad,1,-0.01807205224625874,14.745889863942072,7,266,8
county_property_crime_rate,ra,broad,2,1.353474776097105,11.454956841305803,7,266,8
county_property_crime_rate,ra,broad,3,58.57687098102093,15.28482971791383,7,266,8
county_property_crime_rate,ra,broad,4,63.53530186125113,15.198563301275565,6,242,7
county_property_crime_rate,ra,broad,5,35.46856193224908,21.38039554225913,5,160,6
county_property_crime_rate,ra,strict,-5,-179.44266214375287,16.794091344531527,7,266,8
county_property_crime_rate,ra,strict,-4,3.374309156799745,10.168547033689284,7,266,8
county_property_crime_rate,ra,strict,-3,-138.74827784405457,9.50756706110499,7,266,8
county_property_crime_rate,ra,strict,-2,-46.5653096877334,10.998579706452393,7,266,8
county_property_crime_rate,ra,strict,0,-103.47999013505301,10.539015053491424,7,266,8
county_property_crime_rate,ra,strict,1,-4.1197919513720835,13.925200307114162,7,266,8
county_property_crime_rate,ra,strict,2,-2.892353321817417,11.049929946466722,7,266,8
county_property_crime_rate,ra,strict,3,49.345302404777975,16.11090680660369,7,266,8
county_property_crime_rate,ra,strict,4,66.28825643026349,15.495996679259237,6,242,7
county_property_crime_rate,ra,strict,5,46.02617652719858,21.716453462187857,5,160,6
county_violent_crime_rate,or,broad,-5,-13.236700024157981,4.3411565684510425,7,317,8
county_violent_crime_rate,or,broad,-4,-12.825257809046555,4.511725952345938,7,317,8
county_violent_crime_rate,or,broad,-3,-19.777566464122167,4.128251841413757,7,317,8
county_violent_crime_rate,or,broad,-2,-7.594586525255599,3.760861162600382,7,317,8
county_violent_crime_rate,or,broad,0,-33.16719108967896,3.667427311963991,7,317,8
county_violent_crime_rate,or,broad,1,-3.9437094298206734,6.5623077464753505,7,317,8
county_violent_crime_rate,or,broad,2,-8.384834132994694,4.741471275480026,7,317,8
county_violent_crime_rate,or,broad,3,-6.661189739749532,5.858522325801961,7,317,8
county_violent_crime_rate,or,broad,4,2.924443380247375,5.04845875153644,6,293,7
county_violent_crime_rate,or,broad,5,-19.916875158253532,5.5705005400362735,5,160,6
county_violent_crime_rate,or,strict,-5,-13.466759528962278,4.388619814345243,7,317,8
county_violent_crime_rate,or,strict,-4,-13.027298802312925,4.510198526396163,7,317,8
county_violent_crime_rate,or,strict,-3,-19.78294242184876,4.207684058421466,7,317,8
county_violent_crime_rate,or,strict,-2,-7.494177828931665,3.8332362449981785,7,317,8
