event_time,beta,se,z,n,omitted,outcome,spec
-4,0.12974177949206947,0.2931247931970902,0.44261619113479134,1254,False,homicide_rate,ra
-3,-0.1375795063516714,0.24766722092867463,-0.5555014742596589,1254,False,homicide_rate,ra
-2,-0.09393158535632885,0.22502438481848322,-0.41742847306126013,1254,False,homicide_rate,ra
-1,0.0,0.0,0.0,0,True,homicide_rate,ra
0,-0.15684409045268743,0.20583796083213485,-0.7619784505181582,1254,False,homicide_rate,ra
1,0.2632605442730681,0.2587028078908775,1.0176176533194532,1254,False,homicide_rate,ra
2,-0.3185161062916037,0.2047956099019644,-1.5552877644402499,1254,False,homicide_rate,ra
3,-0.6549068187293043,0.5741026994298779,-1.1407485444323295,1254,False,homicide_rate,ra
4,0.2963849369797793,0.27591777991171273,1.0741784638692569,1254,False,homicide_rate,ra
5,-0.12067949429333284,0.19530503111356512,-0.6179026398104442,1254,False,homicide_rate,ra
-5,0.25634476538437023,0.3505900351152676,0.7311809798019181,1254,False,homicide_rate,eb
-4,-0.18906185674835008,0.4126927446033794,-0.45811771401517853,1254,False,homicide_rate,eb
-3,0.051286172635423864,0.32853840404743584,0.15610404142591178,1254,False,homicide_rate,eb
-2,0.30466085564266654,0.3655520875709252,0.8334266606631143,1254,False,homicide_rate,eb
-1,0.0,0.0,0.0,0,True,homicide_rate,eb
0,-0.0933016291928022,0.1756800725637243,-0.5310882892478256,1254,False,homicide_rate,eb
1,0.1968728990302298,0.28030716925935295,0.7023469986530171,1254,False,homicide_rate,eb
2,-0.36162157906875714,0.21733050720417255,-1.6639246082881012,1254,False,homicide_rate,eb
3,-0.5262194510923642,0.4698550393068955,-1.1199612796930187,1254,False,homicide_rate,eb
4,0.03706583652522778,0.26893162682957933,0.13782624588336806,1254,False,homicide_rate,eb
5,-0.5689614772049247,0.3357949947376557,-1.694371524654301,1254,False,homicide_rate,eb
-5,-36.478066078175296,37.259022456386006,-0.9790398049459063,1254,False,motor_vehicle_theft_rate,unweighted
-4,-44.214963883558006,33.49180456788733,-1.3201726348884848,1254,False,motor_vehicle_theft_rate,unweighted
-3,-9.335133240038378,16.000792042954995,-0.5834169467972401,1254,False,motor_vehicle_theft_rate,unweighted
-2,16.383242041017333,28.294810548960548,0.5790193227365219,1254,False,motor_vehicle_theft_rate,unweighted
-1,0.0,0.0,0.0,0,True,motor_vehicle_theft_rate,unweighted
0,-1.5882753049698652,24.745809287140215,-0.06418360727427301,1254,False,motor_vehicle_theft_rate,unweighted
1,-11.571650081532978,22.131906110360276,-0.5228492306008887,1254,False,motor_vehicle_theft_rate,unweighted
2,4.716520802957554,10.343902591393201,0.45597111547454106,1254,False,motor_vehicle_theft_rate,unweighted
3,26.501746391269542,41.30840990373987,0.641558134361163,1254,False,motor_vehicle_theft_rate,unweighted
4,39.88692412030765,42.70719143335716,0.93396270701972,1254,False,motor_vehicle_theft_rate,unweighted
5,-14.80151426118631,22.114997573658275,-0.6692975756333233,1254,False,motor_vehicle_theft_rate,unweighted
-5,-24.427864439569834,34.78019341532909,-0.7023498733277157,1254,False,motor_vehicle_theft_rate,ra
-4,-41.79185543529462,34.038980274755694,-1.2277646127457198,1254,False,motor_vehicle_theft_rate,ra
-3,-5.132488396449821,14.592875663208623,-0.35171192538765933,1254,False,motor_vehicle_theft_rate,ra
-2,12.569605442035165,30.814719895260517,0.4079091254036823,1254,False,motor_vehicle_theft_rate,ra
-1,0.0,0.0,0.0,0,True,motor_vehicle_theft_rate,ra
0,-6.453794121544325,25.590665061206984,-0.25219329416052044,1254,False,motor_vehicle_theft_rate,ra
1,-22.516758423643818,19.763675513649662,-1.1393001472875202,1254,False,motor_vehicle_theft_rate,ra
2,-0.6503217247981146,8.189029982162205,-0.07941376771298689,1254,False,motor_vehicle_theft_rate,ra
3,31.226438016770167,42.82689669209993,0.7291314671074535,1254,False,motor_vehicle_theft_rate,ra
4,39.32774670699682,40.99910268423693,0.9592343278799927,1254,False,motor_vehicle_theft_rate,ra
5,-9.785731760990735,19.08714173262703,-0.5126871219415361,1254,False,motor_vehicle_theft_rate,ra
-5,-25.243395791443994,36.06774873842596,-0.6998883122569308,1254,False,motor_vehicle_theft_rate,eb
-4,-31.57569939851124,37.39781731135344,-0.8443193124248273,1254,False,motor_vehicle_theft_rate,eb
-3,5.894275776627707,16.48000527479515,0.35766225060877443,1254,False,motor_vehicle_theft_rate,eb
-2,40.223831584341006,23.11009233817114,1.7405309764990837,1254,False,motor_vehicle_theft_rate,eb
-1,0.0,0.0,0.0,0,True,motor_vehicle_theft_rate,eb
0,6.069276552554007,27.338835572961013,0.22200201381498183,1254,False,motor_vehicle_theft_rate,eb
1,-12.84139558879062,21.61000408973342,-0.5942338342680541,1254,False,motor_vehicle_theft_rate,eb
2,-8.530115523725936,7.853240351589153,-1.086190558525286,1254,False,motor_vehicle_theft_rate,eb
3,1.8088010893318494,39.381023364670405,0.045930779212674425,1254,False,motor_vehicle_theft_rate,eb
4,-0.03928689366028934,30.709717527315096,-0.0012792984378754114,1254,False,motor_vehicle_theft_rate,eb
5,-42.82295122534913,17.12255047599892,-2.5009680237401,1254,False,motor_vehicle_theft_rate,eb
