county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
37191,37,35.372889,-77.986675,51,149.5093527801385,51117
37193,37,36.191877,-81.133714,51,50.48103882815725,51077
37195,37,35.727699,-77.93379,51,112.47519986617662,51117
37197,37,36.164018,-80.673979,51,59.98469952190439,51640
37199,37,35.910934,-82.294631,47,28.19904760882311,47171
38001,38,46.035876,-102.621818,46,42.697517935521766,46105
38003,38,46.926891,-98.030382,27,103.38620439275745,27027
38005,38,48.022233,-99.148961,27,192.0386156070732,27069
38007,38,47.00341,-103.306329,30,67.22645521229026,30109
38009,38,48.818996,-100.635057,30,282.87541390436445,30091
38011,38,46.17101,-103.389737,46,63.6487071095057,46063
38013,38,48.760535,-102.539257,30,143.32342525670333,30091
38015,38,46.823125,-100.761269,46,118.9969399006041,46031
38017,38,46.853248,-96.866085,27,14.615118090460825,27027
38019,38,48.756287,-98.408736,27,119.71201215320849,27069
38021,38,46.090319,-98.316828,46,64.78927219770375,46091
38023,38,48.873168,-103.340573,30,85.85326722057981,30091
38025,38,47.337232,-102.638185,30,124.33241015865052,30109
38027,38,47.705809,-99.056923,27,186.68247420820524,27119
38029,38,46.26697,-100.221494,46,52.61810275017799,46021
38031,38,47.460553,-99.032312,27,188.53366990731936,27119
38033,38,46.891037,-103.959283,30,19.678291695328014,30109
38035,38,47.904107,-97.114067,27,43.2581654703331,27119
38037,38,46.39358,-101.709905,46,89.89676409238069,46105
38039,38,47.45152,-98.184378,27,127.034617924802,27119
38041,38,46.452752,-102.563748,46,84.56086879484572,46105
38043,38,46.913782,-99.803211,46,125.79212784385,46021
38045,38,46.405038,-98.531088,46,89.78698617378342,46089
38047,38,46.497157,-99.553732,46,84.73548276665505,46089
38049,38,48.179669,-100.700743,30,265.8431025592018,30083
38051,38,46.146072,-99.492968,46,46.4523048602246,46089
38053,38,47.815379,-103.249949,30,72.09270428805537,30083
38055,38,47.524037,-101.227016,46,197.83033863962527,46031
38057,38,47.300979,-101.712049,46,182.1418903890832,46031
38059,38,46.82084,-100.987436,46,118.31583479131999,46031
