state_abbr,year,population,male_population,white_nh_population,black_nh_population,hispanic_population,age_15_24_population,age_25_44_population,state,share_male,share_white_nh,share_black_nh,share_hispanic,share_age_15_24,share_age_25_44
AZ,2006,6029141,3003007,3626365,205279,1701963,856867,1664223,Arizona,0.4980820650902011,0.6014729129738382,0.034047802166179225,0.2822894671065082,0.14212090909799588,0.2760298689315775
AZ,2007,6167681,3070683,3662620,216675,1773645,876916,1682760,Arizona,0.4978667022500029,0.5938406996081671,0.0351307079597664,0.28757080659651496,0.14217920803621328,0.2728351223093412
AZ,2008,6280362,3125084,3690345,227716,1830866,893419,1690369,Arizona,0.49759615767371373,0.5876006828905722,0.03625841949874864,0.2915223676596986,0.1422559718691375,0.26915152343129267
AZ,2009,6343154,3153246,3697254,236554,1866820,900402,1685082,Arizona,0.49711011272940875,0.5828731258928918,0.037292804179119725,0.29430469447848817,0.14194862681877185,0.26565364801169894
AZ,2010,6401304,3180641,3705329,241771,1899305,906177,1677720,Arizona,0.496873918189169,0.5788397176575273,0.03776902331150028,0.296705952412196,0.14156131313244927,0.26209034909137263
AZ,2011,6443158,3201260,3706355,246725,1915660,915953,1673993,Arizona,0.49684642220476355,0.5752388813063408,0.03829255777989613,0.2973169368188705,0.14215901581181153,0.25980939781392914
AZ,2012,6501800,3229256,3716258,253475,1937623,927985,1674230,Arizona,0.4966710757021133,0.5715737180473099,0.03898535790088899,0.298013319388477,0.1427273985665508,0.2575025377587745
AZ,2013,6555926,3253603,3721039,259492,1960061,933565,1676358,Arizona,0.49628427776640555,0.567584045335472,0.039581288745480045,0.29897546128495045,0.1424001735223979,0.25570117783513724
AZ,2014,6629890,3289839,3737069,266835,1989001,941638,1685127,Arizona,0.49621321017392445,0.5636698346428071,0.04024727408750371,0.300005128290213,0.14202920410444214,0.2541711853439499
AZ,2015,6705607,3326447,3752376,275845,2022111,943965,1695876,Arizona,0.4960694833443117,0.5595878195665209,0.04113646982294071,0.3015552507028819,0.1407724908423652,0.25290417407402493
AZ,2016,6793278,3367773,3774516,286171,2055220,946735,1712689,Arizona,0.49575079954036916,0.5556251341399542,0.04212561299567013,0.3025373023156126,0.13936350021300467,0.25211525275426677
AZ,2017,6872380,3404706,3793255,294953,2089091,943525,1732054,Arizona,0.4954187632232211,0.5519565274329999,0.04291861043772317,0.3039836272150259,0.13729232085536597,0.2520311740619698
AZ,2018,6964300,3448585,3822507,304995,2124379,950316,1754909,Arizona,0.4951804201427279,0.5488716741093864,0.043794064012176386,0.3050384101776201,0.13645535086081875,0.25198641643812014
AZ,2019,7067695,3497701,3856655,315578,2162335,958509,1782325,Arizona,0.4948856734762889,0.5456736602244437,0.04465076662193261,0.30594628093034576,0.1356183310117372,0.2521791050689086
AZ,2020,7187135,3590669,3934544,336489,2206745,955066,1876683,Arizona,0.49959670995466204,0.5474426179555553,0.04681823842184681,0.30704098364647386,0.13288549609823663,0.26111698194064814
AZ,2021,7274078,3632134,3956460,345705,2251262,961862,1913523,Arizona,0.4993256877366451,0.5439122319007302,0.047525610805933066,0.30949104477570905,0.1322314663109194,0.2630605555783152
AZ,2022,7377566,3681090,3970217,358055,2307098,989757,1951079,Arizona,0.49895724416426773,0.5381472697092781,0.04853294433421538,0.31271804277996296,0.1341576612123836,0.2644610702228892
AZ,2023,7473027,3729150,3969005,369705,2368265,1009503,1987613,Arizona,0.4990146563099531,0.5311107533801229,0.049471920816022745,0.3169083960221206,0.13508622409634008,0.26597160695391575
AZ,2024,7582384,3784109,3971061,383460,2435663,1026937,2029372,Arizona,0.4990658610801036,0.5237219586873997,0.0505724848543677,0.32122654299755854,0.13543721869005843,0.26764299987972123
CA,1990,29950111,14996871,17089221,2131952,7775669,4596111,10316716,California,0.5007283946293221,0.5705895714376484,0.07118344235852749,0.2596207072487978,0.15345889703046509,0.3444633644262621
CA,1991,30414114,15225320,17099469,2158357,8069180,4487778,10522961,California,0.5006004777913307,0.5622215067649184,0.07096563786142183,0.26531037530799023,0.14755576966667516,0.34598939821163294
CA,1992,30875920,15454380,17092235,2176894,8379039,4428392,10626036,California,0.5005318060158207,0.5535781605859842,0.07050458739367119,0.27137779214352153,0.14342542667554523,0.34415285439267884
CA,1993,31147208,15583059,16931048,2178853,8684512,4356836,10653127,California,0.5003035585083582,0.5435815627519488,0.06995339678599764,0.2788215239067335,0.13987886169444144,0.3420251022178296
CA,1994,31317179,15657731,16731808,2169692,8961105,4290088,10627280,California,0.4999725869306428,0.5342693222783572,0.06928120824675811,0.2861402363220519,0.13698832835486235,0.3393434638541358
CA,1995,31493525,15741751,16573634,2164634,9201069,4258898,10595888,California,0.49984087205227107,0.5262552858087496,0.06873266806430846,0.2921574831651903,0.13523090857565165,0.336446555283983
CA,1996,31780829,15881311,16486069,2168764,9476486,4275355,10582796,California,0.49971355372762616,0.5187425727629698,0.06824126582726964,0.29818246717226915,0.1345262264870435,0.33299307579421544
CA,1997,32217708,16097411,16486360,2179344,9794538,4385169,10649090,California,0.49964482265467175,0.5117173450079068,0.06764429052494982,0.30401101158406424,0.13611052033869075,0.33053530685671373
CA,1998,32682794,16337830,16508401,2190933,10125345,4526250,10700231,California,0.4998908600041967,0.5051098446479209,0.06703628214894969,0.3098065911990266,0.1384903016553603,0.32739645820978464
CA,1999,33145121,16579707,16526103,2205359,10459616,4684221,10707327,California,0.5002156124275425,0.4985983608266206,0.06653645946865,0.31557030671271347,0.14132460098727653,0.32304383501873474
CA,2000,33987977,16937562,16041289,2212229,11054553,4862503,10724282,California,0.4983398099863372,0.4719695143962231,0.06508857529237472,0.3252489255244583,0.14306538456231155,0.3155316363783581
CA,2001,34479458,17185235,16030167,2217767,11383962,4985100,10750718,California,0.4984195227198757,0.4649193441497833,0.06432139971573798,0.33016650087713095,0.14458173907490077,0.3118006669362378
CA,2002,34871843,17373381,15953726,2218413,11705795,5083312,10725588,California,0.4982065616663851,0.45749592300011216,0.06361616734739256,0.33568042274106363,0.14577124587306728,0.3075715843295119
CA,2003,35253159,17543650,15870991,2216811,12030015,5164655,10697022,California,0.49764760088592347,0.4502005338018077,0.06288261996605751,0.34124643978714075,0.1465019063965303,0.3034344241320331
CA,2004,35574576,17703161,15759038,2214371,12335567,5253629,10675493,California,0.4976351931784092,0.4429859684062011,0.0622458859383173,0.3467523267178223,0.14767931457566774,0.30008770870522816
CA,2005,35827943,17831713,15600864,2206427,12619831,5332357,10619001,California,0.4977040685813305,0.4354384509320002,0.06158397092459369,0.352234316103495,0.14883235132979863,0.29638879910018834
CA,2006,36021202,17923731,15420026,2197071,12876105,5389291,10578738,California,0.49758836476361895,0.42808193907576986,0.06099382802383996,0.3574590598059443,0.14961441320031463,0.2936808716155557
CA,2007,36250311,18035385,15272290,2187067,13136305,5452319,10519395,California,0.49752359365965165,0.42130093725264867,0.060332365148536245,0.36237771863529666,0.15040750960729687,0.29018771728606685
CA,2008,36604337,18207365,15177450,2184581,13447993,5508762,10505976,California,0.49741004733947236,0.4146352930801615,0.05968093343693126,0.36738796826179365,0.15049478972942468,0.2870145141544293
CA,2009,36961229,18378154,15093398,2185021,13759867,5560027,10493897,California,0.49722789250324984,0.40835757923525756,0.059116567795946394,0.37227839474710106,0.15042862887486777,0.2839163437990658
CA,2010,37322523,18544961,15013077,2185377,14061398,5599778,10504583,California,0.4968839057316677,0.4022524683017812,0.05855383892455502,0.37675368302405493,0.1500374988046762,0.2814542575270166
CA,2011,37651212,18688214,14963222,2187348,14268816,5636818,10540686,California,0.4963509275611101,0.3974167418568093,0.05809502227976088,0.37897361710427807,0.14971146214363565,0.2799560874693755
CA,2012,37971412,18835421,14928756,2188508,14453332,5665044,10594574,California,0.49604215402893104,0.3931577788047492,0.057635676018579454,0.38063720148199914,0.14919234501998505,0.279014485950641
CA,2013,38292557,18979469,14883978,2186540,14635121,5660152,10670943,California,0.49564381401847885,0.38869114956204154,0.05710091389300537,0.3821923148145996,0.14781337271365816,0.2786688546288512
CA,2014,38637421,19142308,14843654,2190779,14819395,5642752,10766631,California,0.4954344131819771,0.38417817793791154,0.05670096355551267,0.38355031512067017,0.14604370203694497,0.27865811747631913
CA,2015,38966939,19300672,14784867,2191322,14997004,5604623,10865406,California,0.4953089078924059,0.37942079566475573,0.05623541536069846,0.38486482091908736,0.1438302095014443,0.27883652857618607
CA,2016,39223789,19420234,14691081,2188956,15162989,5545238,10973855,California,0.4951136668617099,0.3745451771627672,0.05580684721713142,0.3865763452888246,0.14137435830077508,0.2797754954270226
CA,2017,39424315,19515638,14570390,2188146,15304669,5490082,11067465,California,0.49501527166673664,0.36957877391148075,0.055502448171895945,0.38820380265326104,0.13925624326002875,0.28072688136750124
CA,2018,39535920,19564373,14424739,2184669,15417240,5451785,11130891,California,0.49485058144593574,0.36485148189292166,0.0552578263007412,0.3899552609373957,0.1378944767188926,0.28153868684477307
CA,2019,39547995,19559814,14236659,2178319,15504405,5407085,11158405,California,0.4945842134348404,0.359984343074788,0.05508039029538666,0.3920402285880738,0.13672210184106678,0.28214843761358827
CA,2020,39521958,19765171,14217947,2229644,15598278,5165461,11326422,California,0.5001060676194231,0.3597480418353767,0.05641532233802789,0.3946737153052994,0.13069850942101605,0.2865855482160069
CA,2021,39142565,19559536,13845734,2200814,15619941,5022266,11235533,California,0.4996999046945442,0.35372577142044725,0.05622559482241391,0.39905256592152305,0.12830702331336744,0.2870413065674158
CA,2022,39142414,19546664,13600725,2189480,15730453,5128546,11210921,California,0.49937298195251834,0.34746771111255426,0.05593625370167512,0.4018774365832419,0.13102273150552238,0.2864136330477727
CA,2023,39198693,19565975,13377111,2175911,15876923,5177050,11229172,California,0.49914865783917844,0.34126421000822654,0.05550978447164042,0.4050370505975799,0.13207200556406307,0.2864680207577329
CA,2024,39431263,19672089,13239268,2167697,16069215,5221764,11304902,California,0.498895736613864,0.33575561604506554,0.054974069686786343,0.40752473487851504,0.1324270034160458,0.28669895762659187
CO,1990,3303862,1636382,2666442,129089,428441,464821,1171581,Colorado,0.49529368962747233,0.8070682128975121,0.0390721525293732,0.12967884251824077,0.14069019831942134,0.35460954482965695
CO,1991,3367567,1668040,2711730,132939,440556,465381,1191340,Colorado,0.4953249630965026,0.8052490121206201,0.03947627471108964,0.13082323232173257,0.13819502329129607,0.35376875946343456
CO,1992,3459995,1714865,2779309,136991,456680,474697,1199947,Colorado,0.49562643876653,0.80326965790413,0.03959283178154882,0.1319886300413729,0.13719586299980202,0.3468059924942088
CO,1993,3560884,1764732,2851608,141047,476496,486212,1219202,Colorado,0.49558817417248074,0.8008146291763506,0.03961010805182084,0.13381396304962476,0.13654249899743995,0.34238745210458976
CO,1994,3653910,1810412,2919546,144157,494301,497379,1236076,Colorado,0.4954725212169977,0.7990196802876918,0.03945280535098018,0.13528001510710444,0.13612240038753007,0.3382885730628286
CO,1995,3738061,1852301,2977692,146048,513778,509533,1247608,Colorado,0.4955245513649991,0.7965873216087164,0.03907052346122763,0.13744505506999485,0.13630943957308347,0.33375806333818525
CO,1996,3812716,1888726,3026511,148233,533640,520194,1250552,Colorado,0.4953754751206227,0.7937939778362721,0.03887858419037767,0.13996321782162638,0.1364365979527455,0.3279950565423703
CO,1997,3891293,1927831,3075558,150906,556393,537521,1243942,Colorado,0.49542170173256034,0.7903691652106382,0.03878042594068347,0.14298409294802525,0.13813429109553046,0.3196731780413348
CO,1998,3968967,1967322,3122879,154615,578291,557334,1230930,Colorado,0.49567607893943183,0.7868241282933317,0.0389559802336477,0.14570315147493038,0.14042293624512373,0.31013863304985906
CO,1999,4056133,2010784,3177332,157578,603582,577959,1222649,Colorado,0.49573916831622633,0.7833401912609868,0.038849317810831153,0.14880725064981842,0.14249015010109384,0.3014321769034694
CO,2000,4326921,2179179,3230049,161497,745292,618553,1404449,Colorado,0.5036327217437064,0.7465005716536077,0.037323769026520244,0.17224534489998777,0.14295453972929018,0.32458392468917274
CO,2001,4425687,2229982,3277055,165681,783269,642590,1412620,Colorado,0.5038725061216485,0.7404624411983948,0.037436221766247814,0.17698246622501773,0.14519553687371023,0.3191866031194705
CO,2002,4490406,2261741,3297880,168181,817023,656673,1406914,Colorado,0.5036829631886293,0.734428022766761,0.0374534062176115,0.18194858104144704,0.14623911512678364,0.3133155442959946
CO,2003,4528732,2275518,3304843,168150,842340,660620,1387655,Colorado,0.5024624994369284,0.7297501817285722,0.03712959830698748,0.18599908318708194,0.14587306115707444,0.3064113751928796
CO,2004,4575013,2300502,3319067,171253,864744,665431,1381778,Colorado,0.5028405383766122,0.7254770642181781,0.03743224336193143,0.18901454487670308,0.1454489856094398,0.3020271199229379
