state,state_abbr,year,share_white_nh,share_black_nh,share_hispanic,share_male,share_age_15_24,share_age_25_44,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,income_interpolated,poverty_interpolated,share_bachelors_plus,education_source,education_interpolated,controls_source
Mississippi,MS,1995,0.6224080083603762,0.3610537136333297,0.007120962335196976,0.4791496022726428,0.16322356127647367,0.2892509554821859,26501.0,54555.27801487477,0.214,False,False,0.17600000000000002,cps_state_table,False,historical_demographic_mix
Mississippi,MS,1996,0.620768471452162,0.3619779145179295,0.007528990654722917,0.47922322573502957,0.16129228668690093,0.2905877468933642,26901.0,53798.82727407959,0.20800000000000002,False,False,0.16899999999999998,cps_state_table,False,historical_demographic_mix
Mississippi,MS,1997,0.6195361637234582,0.36245756501329146,0.007951824164496567,0.4792629545219937,0.15977371911681051,0.29004189871536473,28527.0,55747.50101541816,0.18100000000000002,False,False,0.209,cps_state_table,False,historical_demographic_mix
Mississippi,MS,1998,0.6184659447141115,0.3630139550436424,0.008286522724422872,0.4792448029774637,0.1591725471452949,0.28899606918096127,28925.0,55664.14480343541,0.17600000000000002,False,False,0.195,cps_state_table,False,historical_demographic_mix
Mississippi,MS,1999,0.617256834544587,0.3636849273952104,0.008659551928235702,0.4791934173680091,0.15792458261682088,0.2872926899656471,30739.0,57885.55044622311,0.182,False,False,0.192,cps_state_table,False,historical_demographic_mix
Mississippi,MS,2000,0.6077455989478833,0.3621204955986846,0.014054437775093185,0.4830159744947343,0.15732811207037892,0.2827634074849571,32542.0,59284.90000290374,0.17600000000000002,False,False,0.187,cps_state_table,False,historical_demographic_mix
Mississippi,MS,2001,0.6054951394920565,0.3623102607296055,0.015481280367221241,0.4835299338168955,0.15753065025723853,0.2786153773895073,30877.0,54710.61402965404,0.19,False,False,0.233,cps_state_table,False,historical_demographic_mix
Mississippi,MS,2002,0.6034716710259032,0.36229156033849175,0.016764374898773245,0.4838836512363569,0.15695630257450902,0.2747662296002947,31434.0,54822.76596182357,0.18899999999999997,False,False,0.209,cps_state_table,False,historical_demographic_mix
Mississippi,MS,2003,0.6013247512822872,0.3624089708511487,0.01806532901581139,0.4841527002641275,0.15613782601055953,0.2711817961225975,32397.0,55233.040790760875,0.183,False,False,0.193,cps_state_table,False,historical_demographic_mix
Mississippi,MS,2004,0.5991256520399721,0.36256330023087496,0.019291729692870567,0.4842125849339393,0.1552618370999062,0.2684587453833666,34278.0,56921.5003237902,0.193,False,False,0.201,cps_state_table,False,historical_demographic_mix
Mississippi,MS,2005,0.5966046133733525,0.3627916996307223,0.02084796570338785,0.48451776239244887,0.1537235933395803,0.2663600077496358,33090.0,53159.46911061796,0.21,False,False,0.1867247162625676,acs1,False,historical_demographic_mix
Mississippi,MS,2006,0.5915690239306459,0.3660685210008475,0.022180546634088107,0.48491417146704724,0.1518266231276106,0.264052257882848,34615.0,53873.54548724522,0.209,False,False,0.18772918363064922,acs1,False,historical_demographic_mix
Mississippi,MS,2007,0.5883104820120546,0.3668448102173579,0.023926784708112075,0.48535147779466253,0.15022179725784143,0.26229173425307767,36424.0,55107.130363767166,0.207,False,False,0.1889576143713721,acs1,False,historical_demographic_mix
Mississippi,MS,2008,0.5851389134834517,0.36777454147253924,0.0254334918919359,0.4853952397138753,0.1489992896411772,0.2603638095587023,37818.0,55113.6029462833,0.20800000000000002,False,False,0.1938574656260336,acs1,False,historical_demographic_mix
Mississippi,MS,2009,0.5828542497669643,0.3679115065902296,0.026935142731415108,0.485597750960364,0.14776052513642474,0.25826778253425237,36764.0,53749.76028672009,0.218,False,False,0.19597376440487024,acs1,False,historical_demographic_mix
Mississippi,MS,2010,0.5803064065820823,0.3689018899011469,0.027651465290315976,0.4858056260388026,0.14680610173759673,0.25651611400207447,36992.0,53212.245788742,0.22399999999999998,False,False,0.19508392643165376,acs1,False,historical_demographic_mix
Mississippi,MS,2011,0.5778867135318758,0.36881536061294157,0.02832027380350327,0.48572317020506384,0.14688696941672358,0.2542736463456487,36963.0,51551.977052146736,0.228,False,False,0.19847514623246204,acs1,False,historical_demographic_mix
Mississippi,MS,2012,0.576149192115227,0.3686129355449182,0.02855125276794588,0.48557449211294695,0.14715479976233556,0.2523696030923203,37179.0,50800.0483703825,0.23800000000000002,False,False,0.20660178413027833,acs1,False,historical_demographic_mix
Mississippi,MS,2013,0.5733702448838963,0.3686621471446284,0.02935646867892208,0.48556300996551593,0.148048331898591,0.2506104770007624,38191.0,51428.876079130845,0.239,False,False,0.20372604805458575,acs1,False,historical_demographic_mix
Mississippi,MS,2014,0.5706999065488129,0.36854912345999674,0.030341511874191675,0.48510504556080086,0.1470714834639597,0.24962110765094778,39738.0,52661.376537186065,0.21899999999999997,False,False,0.21066842329203214,acs1,False,historical_demographic_mix
Mississippi,MS,2015,0.5681939698492462,0.3683698492462312,0.03125996649916248,0.48446633165829145,0.1460750418760469,0.2482539363484087,40630.0,53778.32236119213,0.221,False,False,0.208262712841072,acs1,False,historical_demographic_mix
Mississippi,MS,2016,0.5659450388759548,0.3682369174805754,0.03213180429733102,0.48420970096141086,0.1442749610972388,0.2474138543421647,41793.0,54625.38163340064,0.21,False,False,0.21781206343107026,acs1,False,historical_demographic_mix
Mississippi,MS,2017,0.5636092869726571,0.3676511204485548,0.03333290876864621,0.48424943220059474,0.14266412553528668,0.2466786751436593,43595.0,55791.513480417154,0.19899999999999998,False,False,0.21869444879681485,acs1,False,historical_demographic_mix
Mississippi,MS,2018,0.5612492465517873,0.36721275763894795,0.03440262188211952,0.484002021073354,0.14002084946264393,0.2463635303162684,44740.0,55893.60383699158,0.198,False,False,0.23198196717414757,acs1,False,historical_demographic_mix
Mississippi,MS,2019,0.5596283337734355,0.36632471182293885,0.035160228601607,0.48354265128285273,0.13927850649105694,0.24544258553698745,45928.0,56355.89208923178,0.195,False,False,0.22314443259058103,acs1,False,historical_demographic_mix
Mississippi,MS,2020,0.5603362609074217,0.37536977748453965,0.035600040019793576,0.4860556031767063,0.13701472620241903,0.2529284754351477,47368.0,57403.61092487483,0.187,False,False,0.22752068466127984,acs5,False,historical_demographic_mix
Mississippi,MS,2021,0.5596260733460029,0.37477389625235263,0.03624921069391414,0.48540161216934397,0.1383142491760849,0.25260135945567486,48871.0,56576.55755223222,0.192,False,False,0.24777521419676277,acs1,False,historical_demographic_mix
Mississippi,MS,2022,0.5578524911631411,0.3735566916921119,0.03803307954379748,0.48517355390441474,0.13957121476685955,0.2523978233403208,52788.0,56589.213682861286,0.192,False,False,0.24763436664999425,acs1,False,historical_demographic_mix
Mississippi,MS,2023,0.5558197074448928,0.3731389127105042,0.039618819423397615,0.48476915382451313,0.14070805240060724,0.2519271724520347,54386.0,55991.53435421815,0.183,False,False,0.25537093963225965,acs1,False,historical_demographic_mix
Mississippi,MS,2024,0.5537947941672655,0.3727615445907215,0.04109519222437985,0.48407958424013225,0.14142529251166733,0.2514341438883877,59301.0,59301.0,0.17800000000000002,False,False,0.2701746620541822,acs1,False,historical_demographic_mix
Missouri,MO,1990,0.8693711144533072,0.10687523530295316,0.012123393356312557,0.481649588305175,0.1414181965016181,0.3106947020991462,26885.25,64548.91486988967,0.13525,True,True,0.17800000000000002,stat_abstract_229_anchor,False,historical_demographic_mix
