state,state_abbr,year,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Iowa,IA,2013,acs1,52229,70332.76868206973,0.12672754682167486,0.8751003101200615,0.03253218984110877,0.05401376384279657,0.2643738374335415,0.4946809749884805,0.14341823236742238,0.24375229742533044
Iowa,IA,2014,acs1,53712,71179.92492237501,0.12240715614753048,0.8714892798039088,0.03092954711202571,0.055056344673502136,0.2765388072335066,0.4971800306778676,0.14179502215230408,0.2432946072994787
Iowa,IA,2015,acs1,54736,72449.18170716742,0.1215868699126322,0.8676583333840179,0.033403128590264924,0.055801419956279,0.2683007600853023,0.4959472121217747,0.14217809218543878,0.2435453258892173
Iowa,IA,2016,acs1,56247,73517.42733792467,0.1175645869909591,0.8640402744383581,0.03461327791908171,0.05712265922053611,0.2842148134660904,0.4965934463119674,0.14113886112611346,0.24399199538838412
Iowa,IA,2017,acs1,58570,74956.04873375462,0.10728072033724342,0.8587088896596032,0.03305739147683942,0.05904738229290612,0.2893248942528066,0.49663335252348356,0.14112962061676995,0.24390670344478563
Iowa,IA,2018,acs1,59955,74901.67675562874,0.11240538505513363,0.8540745117857386,0.03598123660351473,0.060666731091252146,0.2900714179833447,0.4958225937021271,0.1396621511369091,0.2465425384448433
Iowa,IA,2019,acs1,61691,75697.86053990589,0.1116769937801943,0.8509164614414261,0.03989166642895403,0.06259195517056673,0.29310024851578237,0.4977334892728212,0.13688824653652693,0.25115005372305527
Iowa,IA,2020,acs5,61836,74936.87056980577,0.11113026516050292,0.8501386185635542,0.036289397084645104,0.06171629241929631,0.29318521291636895,0.496644614891821,0.13952776672843364,0.2470026295146271
Iowa,IA,2021,acs1,65600,75943.24191087626,0.11118088892200378,0.8297539772739728,0.03514162975610688,0.06648942916852355,0.30541052309474603,0.5021069005809127,0.1411737698941993,0.25047078384217863
Iowa,IA,2022,acs1,69588,74598.96570741363,0.10950935753105402,0.8280255971144662,0.037182742663138486,0.06812149412110606,0.323131486711575,0.5023122826718308,0.14149276507514255,0.2520652132139901
Iowa,IA,2023,acs1,71433,73541.78048624398,0.11298207915282098,0.8238184299115311,0.03934263879932797,0.07301144619713602,0.31549672848125365,0.4996292489812922,0.139677406077448,0.2522725260086985
Iowa,IA,2024,acs1,75501,75501.0,0.11338533178040015,0.8118157463485906,0.04060758515842107,0.0781196783699338,0.32050781481626767,0.5005991075703504,0.1398687886550868,0.25376154408098994
Kansas,KS,2008,acs1,50177,73124.84147854612,0.11318269693725953,0.8022193085698257,0.055096936834569656,0.09075119177027223,0.2961360679786321,0.4958178302679315,0.1471699783093885,0.25847300664422185
Kansas,KS,2009,acs1,47817,69909.4844856407,0.1335803431423673,0.7982128229316076,0.05462001378626744,0.09298351359664418,0.2946313377046788,0.4959185765873986,0.14979208847051545,0.25646856564281933
Kansas,KS,2010,acs1,48257,69416.72104853272,0.13602944488182592,0.781157042483323,0.05654545079356974,0.10532430926608395,0.2976550526680071,0.49564541305533183,0.14370399231385064,0.25229008848375173
Kansas,KS,2011,acs1,48964,68289.6681649572,0.13759847570110392,0.7771414281922989,0.05707224549131768,0.10685495246301421,0.30133837699382426,0.4956705086795313,0.14452720394477922,0.25201393963161534
Kansas,KS,2012,acs1,50241,68647.4953650283,0.13979481173232383,0.7743934744906711,0.05633380170171922,0.10942009525608085,0.30390441514278477,0.49711165128443247,0.14485854523970818,0.25229139559341
Kansas,KS,2013,acs1,50972,68640.0636669754,0.13989932148341835,0.7705484221085525,0.05715668892108625,0.11141285098569191,0.31051165721823604,0.49775480423517005,0.1446058113510325,0.25387212042196894
Kansas,KS,2014,acs1,52504,69579.06572319737,0.1356446427362569,0.7672065732307032,0.0569090237295116,0.11327638470933922,0.3152151902636218,0.49756699417807243,0.1438092217652696,0.2537946523113986
Kansas,KS,2015,acs1,53906,71350.58442536113,0.1303025175710002,0.7637133149313394,0.05780005158603001,0.1155090892043353,0.3172198367045649,0.4977344391015239,0.14565016772328732,0.25131154561980684
Kansas,KS,2016,acs1,54935,71802.58272990368,0.12121744004665476,0.7623879153396859,0.05538733851364622,0.11588424817759775,0.328460370752499,0.49835190103219873,0.14390313450090444,0.251270513526519
Kansas,KS,2017,acs1,56422,72207.10571377673,0.11901034740338745,0.7588896864293063,0.05531795258902559,0.11860467271721792,0.33748099266589937,0.49863085080856523,0.14214744794504042,0.2535886744226042
Kansas,KS,2018,acs1,58218,72731.64569025426,0.11967915687551316,0.7562199683325834,0.056030032526077536,0.11967776171127696,0.3380423830166588,0.4979357790287514,0.1421681532950256,0.25274479565586244
Kansas,KS,2019,acs1,62087,76183.7718198949,0.11432961018360574,0.7539472229907247,0.055428971954276124,0.12178707822088522,0.34017802167895933,0.4964404798109644,0.1413259950695325,0.25410168625832985
Kansas,KS,2020,acs5,61091,74034.03130829945,0.11442256632318637,0.7532698234818903,0.05486368110624836,0.12071678444726207,0.3392345148248683,0.49849259377900096,0.14200484169058844,0.25396249904295753
Kansas,KS,2021,acs1,64124,74234.51896788154,0.11683430111986727,0.7336482674534227,0.051465932797243354,0.12735135702461203,0.353967519217273,0.502494051963789,0.14066909699575614,0.25745267980243863
Kansas,KS,2022,acs1,68925,73888.22370787327,0.12011282550638806,0.7313017721260405,0.050275266840304374,0.12997157108080962,0.3560831943795308,0.5017758711676285,0.14498204041332585,0.2587365303099944
Kansas,KS,2023,acs1,70333,72409.30728009461,0.11197946863245777,0.7274677126398592,0.0522164753700587,0.13659907493401738,0.3581915826795321,0.5021178032522521,0.1444826421750783,0.26036958429843154
Kansas,KS,2024,acs1,75514,75514.0,0.10854107571176208,0.7180821017664409,0.051232644113692626,0.14231506971978108,0.3604853689599452,0.5006496990849678,0.14285637341337087,0.26243332168587824
Kentucky,KY,2008,acs1,41538,60534.89976156105,0.17342756911725915,0.877531975794315,0.07367485351625404,0.02303592321358929,0.19676413073518878,0.48879415446993557,0.13173125458951174,0.27479308402305325
Kentucky,KY,2009,acs1,40072,58586.127576146435,0.18561905175827004,0.872251375891174,0.07418512217922896,0.026200750884364875,0.20976612717401844,0.4894452231547945,0.1372991388959909,0.2681028521969638
Kentucky,KY,2010,acs1,40062,57628.37885998546,0.18982299971795524,0.864435126612131,0.07680615958618271,0.030155310328452055,0.20541499558434723,0.4924901052995836,0.13641042678934054,0.2626760534214887
Kentucky,KY,2011,acs1,41141,57378.99758954546,0.19141642971929906,0.860776508025439,0.07852759079370049,0.030097799309555,0.21079781682550003,0.4906318002012196,0.1363798234797073,0.25926543865961027
Kentucky,KY,2012,acs1,41724,57010.17289883642,0.19382553236876995,0.8584351026101408,0.07763100071568561,0.030598698981717486,0.21773241068438653,0.49194859391176404,0.13593689182417648,0.2578520528306108
Kentucky,KY,2013,acs1,43399,58442.08826577465,0.18765369539272425,0.8567167846526798,0.07870188462890432,0.032555493999833915,0.2258308609711432,0.49213238246807095,0.13532925548797067,0.25722141517236047
Kentucky,KY,2014,acs1,42958,56928.56744890128,0.19122183657559516,0.8539861156458531,0.07825792796893682,0.032892582843788896,0.22233257762165504,0.49262018413230263,0.13640305094169944,0.25430427893599056
