state_abbr,year,drug_overdose_per_100k
MD,2012,18.52788578345129
MD,2013,19.47179094052738
MD,2014,20.658366514966954
MD,2015,22.811372755313158
MD,2016,27.436985886453737
MD,2017,30.016335152647915
MD,2018,28.586130068924106
MD,2019,29.753586486524917
MD,2020,38.42066366410757
MD,2021,44.03156202742554
ME,2003,10.399288449330392
ME,2004,10.957730252868261
ME,2005,11.820782663386884
ME,2006,13.52618519787794
ME,2007,14.028863591730468
ME,2008,14.084307490772327
ME,2009,14.190861510067016
ME,2010,14.61830236475367
ME,2011,15.640015040892813
ME,2012,15.606554609417707
ME,2013,16.440116622058902
ME,2014,17.474254327461264
ME,2015,19.335412633756125
ME,2016,23.31744742633306
ME,2017,25.593697116383915
ME,2018,24.432129291453098
ME,2019,25.51119291480714
ME,2020,33.04298981848563
ME,2021,38.13218914075964
MI,2003,9.724341453360132
MI,2004,10.234915349602673
MI,2005,11.026657255662718
MI,2006,12.59944158491746
MI,2007,13.044543129235207
MI,2008,13.072880042856616
MI,2009,13.154184347825517
MI,2010,13.533032051734137
MI,2011,14.45184195288541
MI,2012,14.402405875340676
MI,2013,15.151415527700905
MI,2014,16.087627665537354
MI,2015,17.789293678261867
MI,2016,21.438729122406336
MI,2017,23.511427143797903
MI,2018,22.439414524861906
MI,2019,23.417376383948795
MI,2020,30.30547668862611
MI,2021,34.99229502449006
MN,2003,5.598959924233789
MN,2004,5.889572624819836
MN,2005,6.342567261222462
MN,2006,7.246493209666595
MN,2007,7.511462586870532
MN,2008,7.539144568177583
MN,2009,7.598821872168141
MN,2010,7.82642961731417
MN,2011,8.380859311615563
MN,2012,8.369895153913529
MN,2013,8.823397138961152
MN,2014,9.381345428846261
MN,2015,10.38427373610367
MN,2016,12.528344319253407
MN,2017,13.750383488511897
MN,2018,13.127294351117058
MN,2019,13.704883820902038
MN,2020,17.741979426290648
MN,2021,20.426512353338392
MO,2003,10.086410476307243
MO,2004,10.617876619017801
MO,2005,11.430294860195499
MO,2006,13.05624751948413
MO,2007,13.52450202495511
MO,2008,13.570312189685
MO,2009,13.671357728097624
MO,2010,14.076882192058665
MO,2011,15.057651260915074
MO,2012,15.022564855557402
MO,2013,15.823951589056344
MO,2014,16.810126488877117
MO,2015,18.59505766197217
MO,2016,22.3994775109778
MO,2017,24.545232491593552
MO,2018,23.408858743111722
MO,2019,24.426897756445552
MO,2020,31.607767069571754
MO,2021,36.45885407967041
MS,2003,6.47472402506422
MS,2004,6.852126735546086
MS,2005,7.41259231962912
MS,2006,8.398012422885818
MS,2007,8.751856017706217
MS,2008,8.815070400345206
MS,2009,8.898552663373412
MS,2010,9.17689070493567
MS,2011,9.835961338279045
MS,2012,9.823717978857461
MS,2013,10.361166517237216
MS,2014,11.035375117343808
MS,2015,12.233569439591792
MS,2016,14.783576015883128
MS,2017,16.266981206925262
MS,2018,15.57076983650024
MS,2019,16.302781941708943
MS,2020,21.173110181796062
MS,2021,24.44801927253374
MT,2003,6.900515325228625
MT,2004,7.267336150037257
MT,2005,7.835408435286809
MT,2006,8.955523252919097
MT,2007,9.279419254093993
MT,2008,9.313023171591999
MT,2009,9.385728187212775
MT,2010,9.668630667667273
MT,2011,10.340434006574316
MT,2012,10.314751121117183
MT,2013,10.860504536817736
MT,2014,11.532075078916979
MT,2015,12.74601846596445
