state_fips,state_abbr,year,imprisonment_rate,police_expenditure_per_capita_real_2024,has_death_penalty,executions_count,prisoners_total,police_expend_per_capita_nominal,population,has_imprisonment_rate,has_police_expenditure,police_expenditure_imputed_flag,sworn_officers_per_100k,has_sworn_officers
31,NE,2006,248.6048063595896,291.4085501428718,1,0,4407.0,,1772693.0,1,1,1,203.588551429943,1
31,NE,2007,252.60171354236755,296.7847552626274,1,0,4505.0,,1783440.0,1,1,1,199.38994303144486,1
31,NE,2008,251.6174212777044,302.160960382383,1,0,4520.0,,1796378.0,1,1,1,201.23826945108434,1
31,NE,2009,246.816459358862,307.53716550213863,1,0,4474.0,210.32966050875967,1812683.0,1,1,0,203.78632116040146,1
31,NE,2010,250.7117711007542,319.10151954595653,1,0,4587.0,221.81842827167384,1829591.0,1,1,0,202.39496149685914,1
31,NE,2011,250.74501035898476,315.00986759499546,1,0,4616.0,225.88616306899723,1840914.0,1,1,0,206.6364860064077,1
31,NE,2012,253.81792326768596,318.0229412753319,1,0,4705.0,,1853691.0,1,1,1,199.97939246616616,1
31,NE,2013,269.37319013213005,321.03601495566835,1,0,5026.0,,1865813.0,1,1,1,197.5546316806668,1
31,NE,2014,289.4218212669984,324.0490886360048,1,0,5441.0,,1879955.0,1,1,1,205.90918399642544,1
31,NE,2015,283.92349287205104,327.06216231634124,0,0,5372.0,,1892059.0,1,1,1,209.03153654299365,1
31,NE,2016,278.1037124380338,330.0752359966777,1,0,5302.0,,1906483.0,1,1,1,206.9779798718373,1
31,NE,2017,277.1520888389033,333.08830967701414,1,0,5313.0,260.2788317984682,1916998.0,1,1,0,205.84267693550018,1
31,NE,2018,285.1709051930084,343.21765176277546,1,1,5491.0,274.7445874136334,1925512.0,1,1,0,197.1943046836374,1
31,NE,2019,294.01248388804345,353.6888518536594,1,0,5682.0,288.2569385549095,1932571.0,1,1,0,194.30075272784288,1
31,NE,2020,270.2567795945436,360.747573249776,1,0,5306.0,297.6369594737073,1963318.0,1,1,0,188.25274356981396,1
31,NE,2021,285.03122873399815,327.81338753849684,1,0,5600.0,283.1708909821718,1964697.0,1,1,0,192.90506373247376,1
31,NE,2022,286.3740402870331,324.6768458667633,1,0,5649.0,302.906070430068,1972595.0,1,1,0,185.69447859291947,1
31,NE,2023,298.3142303583392,,1,0,5931.0,,1988172.0,1,0,0,178.7571699028052,1
31,NE,2024,,,1,0,,,2005591.0,0,0,0,182.09096470815834,1
33,NH,1979,,,1,0,,,909074.0,0,0,0,148.72276624345213,1
33,NH,1980,,,1,0,,,924250.0,0,0,0,145.19880984582093,1
33,NH,1981,,,1,0,,,936621.0,0,0,0,164.52759440584825,1
33,NH,1982,,,1,0,,,947719.0,0,0,0,164.28920386739108,1
33,NH,1983,,,1,0,,,958134.0,0,0,0,169.4961247591673,1
33,NH,1984,,,1,0,,,976864.0,0,0,0,168.49837848462016,1
33,NH,1985,,,1,0,,,996753.0,0,0,0,169.04890178409295,1
33,NH,1986,,,1,0,,,1025053.0,0,0,0,174.13733728890116,1
33,NH,1987,,,1,0,,,1054289.0,0,0,0,176.89646766683518,1
33,NH,1988,,,1,0,,,1082577.0,0,0,0,179.20203366596556,1
33,NH,1989,105.5660276572128,,1,0,1166.0,,1104522.0,1,0,0,177.54286469622153,1
33,NH,1990,120.70179730552576,,1,0,1342.0,,1111831.0,1,0,0,178.1745607021211,1
33,NH,1991,138.4755048303833,,1,0,1533.0,,1107055.0,1,0,0,177.317296791939,1
33,NH,1992,159.69215450508014,,1,0,1777.0,,1112766.0,1,0,0,177.1261882552127,1
33,NH,1993,,,1,0,,,1122191.0,0,0,0,176.52966384510302,1
33,NH,1994,,,1,0,,,1133054.0,0,0,0,176.77886490846862,1
33,NH,1995,,,1,0,,,1145604.0,0,0,0,179.29406671066093,1
33,NH,1996,177.64101008987154,,1,0,2062.0,,1160768.0,1,0,0,184.18839940453216,1
33,NH,1997,184.446647273062,,1,0,2164.0,,1173239.0,1,0,0,183.67954014484687,1
33,NH,1998,182.91094033426572,,1,0,2169.0,,1185823.0,1,0,0,187.54906929617658,1
33,NH,1999,187.9057623878768,,1,0,2257.0,,1201134.0,1,0,0,195.2321722638773,1
33,NH,2000,182.03345157039135,,1,0,2257.0,,1239882.0,1,0,0,192.598973128088,1
33,NH,2001,190.5191247908232,,1,0,2392.0,,1255517.0,1,0,0,194.82014182205418,1
33,NH,2002,193.1306630189057,291.2327439086596,1,0,2451.0,167.02138305508913,1269089.0,1,1,0,193.44584973945877,1
33,NH,2003,190.18002250281285,301.5722498914341,1,0,2434.0,,1279840.0,1,1,1,194.86810851356418,1
33,NH,2004,189.74964363807732,311.91175587420867,1,0,2448.0,,1290121.0,1,1,1,193.70276121387062,1
33,NH,2005,194.84140064012715,322.2512618569832,1,0,2530.0,,1298492.0,1,1,1,199.0000708514184,1
33,NH,2006,214.38578282146975,332.5907678397578,1,0,2805.0,,1308389.0,1,1,1,199.48195834724996,1
33,NH,2007,224.2217380041751,342.93027382253234,1,0,2943.0,,1312540.0,1,1,1,202.43192588416352,1
33,NH,2008,205.3338156372872,353.2697798053069,1,0,2702.0,,1315906.0,1,1,1,210.8813243499156,1
33,NH,2009,207.50671300552693,363.6092857880814,1,0,2731.0,248.67829393162532,1316102.0,1,1,0,207.5826949582935,1
33,NH,2010,209.67385501444025,392.092586270537,1,0,2761.0,272.5570262004986,1316807.0,1,1,0,206.56026281755794,1
33,NH,2011,197.96371523517848,371.91691831690514,1,0,2614.0,266.692869974039,1320444.0,1,1,0,209.09633426332354,1
33,NH,2012,210.6173806897833,376.32034067529577,1,0,2790.0,,1324677.0,1,1,1,207.6732667661626,1
33,NH,2013,227.3836862376363,380.7237630336864,1,0,3018.0,,1327272.0,1,1,1,206.2124417602421,1
33,NH,2014,222.07116020376887,385.12718539207697,1,0,2963.0,,1334257.0,1,1,1,205.73247882529378,1
33,NH,2015,216.60136974010828,389.5306077504676,1,0,2897.0,,1337480.0,1,1,1,207.85357538056644,1
33,NH,2016,209.7203678813777,393.93403010885817,1,0,2818.0,,1343694.0,1,1,1,208.52962058325778,1
33,NH,2017,203.64411894297595,398.3374524672488,1,0,2750.0,311.26522239789097,1350395.0,1,1,0,211.19746444558814,1
33,NH,2018,200.8761209802637,427.0403402621805,1,0,2722.0,341.84437045039937,1355064.0,1,1,0,209.4366022564248,1
33,NH,2019,197.7537932205208,438.96787204474447,0,0,2691.0,357.7594664248452,1360783.0,1,1,0,208.18896179625995,1
33,NH,2020,170.58905444924108,432.90054816977664,0,0,2352.0,357.1672062851042,1378752.0,1,1,0,206.9262637515666,1
33,NH,2021,153.25234327660283,406.5299479967869,0,0,2127.0,351.16762146166855,1387907.0,1,1,0,206.281833004661,1
33,NH,2022,149.3577117195684,399.0562717013012,0,0,2086.0,372.2980824789657,1396647.0,1,1,0,203.77375242276682,1
33,NH,2023,150.90650931482023,,0,0,2115.0,,1401530.0,1,0,0,193.07471120846503,1
33,NH,2024,,,0,0,,,1408518.0,0,0,0,202.6243186100568,1
34,NJ,1979,79.44058191990999,,1,0,5852.0,,7366512.0,1,0,0,288.96986796464864,1
34,NJ,1980,82.52071151914299,,1,0,6087.0,,7376330.0,1,0,0,279.5699216276929,1
34,NJ,1981,,,1,0,,,7407472.0,0,0,0,283.5380275483998,1
34,NJ,1982,110.2279003220038,,1,0,8191.0,,7430968.0,1,0,0,286.20766500407484,1
34,NJ,1983,136.70720300597836,,1,0,10209.0,,7467785.0,1,0,0,316.72041977641294,1
34,NJ,1984,,,1,0,,,7515473.0,0,0,0,317.6380249120714,1
34,NJ,1985,149.82430836287963,,1,0,11335.0,,7565528.0,1,0,0,326.6923339653227,1
34,NJ,1986,157.69810102360762,,1,0,12020.0,,7622159.0,1,0,0,331.6776782011501,1
34,NJ,1987,202.6922558469572,,1,0,15548.0,,7670742.0,1,0,0,338.2332504469581,1
34,NJ,1988,219.59632707768196,,1,0,16936.0,,7712333.0,1,0,0,346.0042505944699,1
34,NJ,1989,251.6020718891537,,1,0,19439.0,,7726089.0,1,0,0,350.4878082558977,1
34,NJ,1990,,,1,0,,,7757158.0,0,0,0,354.60151772079416,1
34,NJ,1991,301.67251414358884,,1,0,23483.0,,7784269.0,1,0,0,351.32393292163977,1
34,NJ,1992,289.39276447826137,,1,0,22653.0,,7827770.0,1,0,0,350.0613840212474,1
34,NJ,1993,,,1,0,,,7874891.0,0,0,0,349.54134603259905,1
34,NJ,1994,,,1,0,,,7918796.0,0,0,0,350.9624442907735,1
34,NJ,1995,,,1,0,,,7965523.0,0,0,0,351.84130408009617,1
34,NJ,1996,343.21211582466293,,1,0,27490.0,,8009624.0,1,0,0,354.9355125783682,1
34,NJ,1997,352.1278024895899,,1,0,28361.0,,8054178.0,1,0,0,366.92757473202107,1
34,NJ,1998,384.4214507194207,,1,0,31121.0,,8095542.0,1,0,0,369.0302638168019,1
34,NJ,1999,386.7297884473977,,1,0,31493.0,,8143412.0,1,0,0,373.0500188373129,1
34,NJ,2000,353.2835837360024,,1,0,29784.0,,8430621.0,1,0,0,364.3622456756151,1
34,NJ,2001,331.36807018663507,,1,0,28142.0,,8492671.0,1,0,0,365.8330812532359,1
34,NJ,2002,326.109718364253,493.2476751895081,1,0,27891.0,282.8765330202605,8552643.0,1,1,0,362.7650540306663,1
34,NJ,2003,316.7623138646467,500.50400712241066,1,0,27246.0,,8601402.0,1,1,1,369.3002605854255,1
34,NJ,2004,309.8825753851296,507.7603390553133,1,0,26757.0,,8634561.0,1,1,1,367.8357243639833,1
34,NJ,2005,316.21685409595545,515.0166709882158,1,0,27359.0,,8651974.0,1,1,1,373.6719504704938,1
34,NJ,2006,316.00108939617826,522.2730029211184,1,0,27371.0,,8661679.0,1,1,1,370.9327025395423,1
34,NJ,2007,309.1421469632289,529.5293348540209,0,0,26827.0,,8677885.0,1,1,1,379.25139593345614,1
34,NJ,2008,297.93056896438907,536.7856667869236,0,0,25953.0,,8711090.0,1,1,1,372.92692418514787,1
34,NJ,2009,289.8944013215768,544.0419987198261,0,0,25382.0,372.07915572224505,8755602.0,1,1,0,372.4586841658632,1
34,NJ,2010,284.1881840128435,536.726497052227,0,0,25007.0,373.0970261667461,8799451.0,1,1,0,358.87466161241196,1
34,NJ,2011,269.9649953922229,526.233328020437,0,0,23834.0,377.34953591483634,8828552.0,1,1,0,337.08812045282167,1
34,NJ,2012,262.5578093510373,523.1738798619899,0,0,23225.0,,8845671.0,1,1,1,333.62081859024596,1
34,NJ,2013,253.4709157026316,520.1144317035428,0,0,22452.0,,8857821.0,1,1,1,327.2701040131653,1
34,NJ,2014,243.47948079213043,517.0549835450956,0,0,21590.0,,8867277.0,1,1,1,343.0027053400948,1
34,NJ,2015,230.983983426964,513.9955353866485,0,0,20489.0,,8870312.0,1,1,1,349.5592939684647,1
34,NJ,2016,222.9764208013357,510.9360872282013,0,0,19786.0,,8873584.0,1,1,1,356.50758475943877,1
34,NJ,2017,220.34964093190624,507.87663906975416,0,0,19585.0,396.860335455748,8888147.0,1,1,0,359.1187229464139,1
34,NJ,2018,217.75290072910445,491.0847274908271,0,0,19362.0,393.111689176347,8891730.0,1,1,0,326.1120164467432,1
34,NJ,2019,209.34045553508847,511.2762068361465,0,0,18613.0,416.69086646681495,8891258.0,1,1,0,334.1934290963101,1
34,NJ,2020,138.39634555981806,533.7772736056506,0,0,12830.0,440.3961565727585,9270476.0,1,1,0,315.38833604660647,1
34,NJ,2021,134.95913077945536,530.830431677873,0,0,12506.0,458.5405355997604,9266509.0,1,1,0,318.39390648625067,1
34,NJ,2022,136.12016344313787,523.0039285099314,0,0,12657.0,487.9345934925162,9298402.0,1,1,0,317.624469236757,1
34,NJ,2023,124.26406139655776,,0,0,11675.0,,9395315.0,1,0,0,290.03817328104486,1
34,NJ,2024,,,0,0,,,9506354.0,0,0,0,308.6777538475845,1
35,NM,1979,120.41515596370265,,1,0,1547.0,,1284722.0,1,0,0,154.11894557733115,1
35,NM,1980,112.876126470139,,1,0,1478.0,,1309400.0,1,0,0,157.32396517488925,1
35,NM,1981,,,1,0,,,1332748.0,0,0,0,162.74644568965775,1
35,NM,1982,125.96942565127586,,1,0,1718.0,,1363823.0,1,0,0,166.22391615334246,1
35,NM,1983,144.3672047626117,,1,0,2013.0,,1394361.0,1,0,0,198.08356659430376,1
35,NM,1984,,,1,0,,,1416717.0,0,0,0,196.65183660533472,1
35,NM,1985,160.8080308072869,,1,0,2313.0,,1438361.0,1,0,0,198.21171458347382,1
35,NM,1986,165.17071856782766,,1,0,2416.0,,1462729.0,1,0,0,199.21666966334845,1
35,NM,1987,183.2913995076157,,1,0,2710.0,,1478520.0,1,0,0,201.48526905283663,1
35,NM,1988,189.55444305549685,,1,0,2825.0,,1490337.0,1,0,0,208.47633790209863,1
35,NM,1989,195.09262910258056,,1,0,2934.0,,1503901.0,1,0,0,208.5908580418525,1
35,NM,1990,194.81121865240112,,1,0,2961.0,,1519933.0,1,0,0,214.41734602775253,1
35,NM,1991,201.60104452480908,,1,0,3119.0,,1547115.0,1,0,0,222.99570490881413,1
35,NM,1992,206.9270915704571,,1,0,3271.0,,1580750.0,1,0,0,218.3140914123043,1
35,NM,1993,,,1,0,,,1614937.0,0,0,0,213.07332731865083,1
35,NM,1994,,,1,0,,,1653329.0,0,0,0,213.7505602333232,1
35,NM,1995,,,1,0,,,1682417.0,0,0,0,221.8237214673889,1
35,NM,1996,276.88053402072853,,1,0,4724.0,,1706151.0,1,0,0,224.77494664891913,1
35,NM,1997,272.0932081751008,,1,0,4688.0,,1722939.0,1,0,0,224.15187072786676,1
35,NM,1998,287.5626970323645,,1,0,4985.0,,1733535.0,1,0,0,229.30024487535584,1
35,NM,1999,294.50916289046603,,1,0,5124.0,,1739844.0,1,0,0,235.30845294175802,1
35,NM,2000,293.3224394411609,,1,0,5342.0,,1821204.0,1,0,0,230.94612135708027,1
35,NM,2001,309.4410080308349,,1,1,5668.0,,1831690.0,1,0,0,220.39755635506006,1
35,NM,2002,322.9111700530747,385.0919834146397,1,0,5991.0,220.84946496783016,1855309.0,1,1,0,224.43700752812603,1
35,NM,2003,331.4383347873373,395.31380412668943,1,0,6223.0,,1877574.0,1,1,1,221.45598522348521,1
35,NM,2004,335.06530070259186,405.5356248387392,1,0,6379.0,,1903808.0,1,1,1,222.23879718963258,1
35,NM,2005,340.06564286431427,415.757445550789,1,0,6571.0,,1932274.0,1,1,1,224.5023221344385,1
35,NM,2006,338.35557863696573,425.97926626283873,1,0,6639.0,,1962137.0,1,1,1,213.8994371952621,1
35,NM,2007,324.91319400825097,436.2010869748885,1,0,6466.0,,1990070.0,1,1,1,217.5300366318773,1
35,NM,2008,318.4025957619928,446.4229076869383,1,0,6402.0,,2010662.0,1,1,1,218.08737619749118,1
35,NM,2009,312.4014999985271,456.644728398988,0,0,6363.0,312.30674361081736,2036802.0,1,1,0,227.75900652100694,1
35,NM,2010,327.5672837634541,452.7460919044656,0,0,6763.0,314.71936158526483,2064614.0,1,1,0,220.96140004862895,1
35,NM,2011,336.3279885154421,432.5521063474591,0,0,6998.0,310.1729364105566,2080707.0,1,1,0,222.56857885324558,1
35,NM,2012,322.2183104494627,432.42031068945727,0,0,6727.0,,2087715.0,1,1,1,220.8155806707333,1
35,NM,2013,331.17788184723764,432.2885150314554,0,0,6931.0,,2092833.0,1,1,1,193.13533377961835,1
35,NM,2014,335.89508553101183,432.1567193734536,0,0,7021.0,,2090236.0,1,1,1,214.71259704645792,1
35,NM,2015,339.8927596239554,432.0249237154518,0,0,7104.0,,2090071.0,1,1,1,224.25075511788833,1
35,NM,2016,337.14764964361746,431.8931280574499,0,0,7055.0,,2092555.0,1,1,1,231.4873444186652,1
35,NM,2017,347.6608863345763,431.7613323994481,0,0,7276.0,337.3830060912328,2092844.0,1,1,0,235.8990923355969,1
35,NM,2018,335.7605525768548,427.91799190925815,0,0,7030.0,342.54692767154114,2093754.0,1,1,0,129.38482744391175,1
35,NM,2019,320.19866319558554,448.000724377838,0,0,6723.0,365.1212544662546,2099634.0,1,1,0,85.06244421646821,1
35,NM,2020,259.6242717539177,437.4264634263631,0,0,5500.0,360.9013399444687,2118446.0,1,1,0,46.40193802438203,1
