event_time,beta,se,z,n,omitted,outcome,spec,tier
0,0.01707502114047186,0.10843567875743992,0.15746681660624842,3086,False,firearm_homicide_rate,ra,minimal
1,0.32342892097032194,0.13020612034353024,2.483976330121817,3086,False,firearm_homicide_rate,ra,minimal
2,0.22305538353724266,0.140844460597537,1.5837000801517027,3086,False,firearm_homicide_rate,ra,minimal
3,0.0813769364223403,0.1625969563317902,0.5004825321347658,3086,False,firearm_homicide_rate,ra,minimal
4,-0.00953851913048152,0.18270927131081358,-0.05220599404753352,3086,False,firearm_homicide_rate,ra,minimal
5,0.016711856012953576,0.14573025000901232,0.11467664408672923,3086,False,firearm_homicide_rate,ra,minimal
-5,-0.05421601161697903,0.18453674217261454,-0.2937952137806015,3086,False,firearm_homicide_rate,eb,minimal
-4,-0.09498387770987843,0.15938861607915003,-0.5959263594001647,3086,False,firearm_homicide_rate,eb,minimal
-3,-0.07390152648887244,0.1369791456819869,-0.5395093254592452,3086,False,firearm_homicide_rate,eb,minimal
-2,-0.10265818623207022,0.10866313565709058,-0.9447379335346051,3086,False,firearm_homicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,eb,minimal
0,0.004884471229341377,0.10872740593849534,0.04492401145029077,3086,False,firearm_homicide_rate,eb,minimal
1,0.29245656547406673,0.1275034588300464,2.293714760035583,3086,False,firearm_homicide_rate,eb,minimal
2,0.23566726762428683,0.1372497389346733,1.717068968243774,3086,False,firearm_homicide_rate,eb,minimal
3,0.060742188707576014,0.16335491641257358,0.37184181560941765,3086,False,firearm_homicide_rate,eb,minimal
4,-0.030910847015742458,0.19407034446435564,-0.1592765092526528,3086,False,firearm_homicide_rate,eb,minimal
5,-0.028302817797460394,0.14817766518269426,-0.19100596410778034,3086,False,firearm_homicide_rate,eb,minimal
-5,-0.05421601161697903,0.18453674217261454,-0.2937952137806015,3086,False,firearm_homicide_rate,eb,headline
-4,-0.09498387770987843,0.15938861607915003,-0.5959263594001647,3086,False,firearm_homicide_rate,eb,headline
-3,-0.07390152648887244,0.1369791456819869,-0.5395093254592452,3086,False,firearm_homicide_rate,eb,headline
-2,-0.10265818623207022,0.10866313565709058,-0.9447379335346051,3086,False,firearm_homicide_rate,eb,headline
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,eb,headline
0,0.004884471229341377,0.10872740593849534,0.04492401145029077,3086,False,firearm_homicide_rate,eb,headline
1,0.29245656547406673,0.1275034588300464,2.293714760035583,3086,False,firearm_homicide_rate,eb,headline
2,0.23566726762428683,0.1372497389346733,1.717068968243774,3086,False,firearm_homicide_rate,eb,headline
3,0.060742188707576014,0.16335491641257358,0.37184181560941765,3086,False,firearm_homicide_rate,eb,headline
4,-0.030910847015742458,0.19407034446435564,-0.1592765092526528,3086,False,firearm_homicide_rate,eb,headline
5,-0.028302817797460394,0.14817766518269426,-0.19100596410778034,3086,False,firearm_homicide_rate,eb,headline
-5,-0.05421601161697903,0.18453674217261454,-0.2937952137806015,3086,False,firearm_homicide_rate,eb,expanded
-4,-0.09498387770987843,0.15938861607915003,-0.5959263594001647,3086,False,firearm_homicide_rate,eb,expanded
-3,-0.07390152648887244,0.1369791456819869,-0.5395093254592452,3086,False,firearm_homicide_rate,eb,expanded
-2,-0.10265818623207022,0.10866313565709058,-0.9447379335346051,3086,False,firearm_homicide_rate,eb,expanded
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,eb,expanded
0,0.004884471229341377,0.10872740593849534,0.04492401145029077,3086,False,firearm_homicide_rate,eb,expanded
1,0.29245656547406673,0.1275034588300464,2.293714760035583,3086,False,firearm_homicide_rate,eb,expanded
2,0.23566726762428683,0.1372497389346733,1.717068968243774,3086,False,firearm_homicide_rate,eb,expanded
3,0.060742188707576014,0.16335491641257358,0.37184181560941765,3086,False,firearm_homicide_rate,eb,expanded
4,-0.030910847015742458,0.19407034446435564,-0.1592765092526528,3086,False,firearm_homicide_rate,eb,expanded
5,-0.028302817797460394,0.14817766518269426,-0.19100596410778034,3086,False,firearm_homicide_rate,eb,expanded
-5,0.01998331014391085,0.23021485572080166,0.08680286978589281,3092,False,homicide_rate,unweighted,all
-4,-0.16883839180315582,0.211887818684239,-0.7968291563507168,3092,False,homicide_rate,unweighted,all
-3,0.013122792639648644,0.17813936605268993,0.07366587706260948,3092,False,homicide_rate,unweighted,all
-2,-0.038064757631864045,0.14634799189658745,-0.2600975738619044,3092,False,homicide_rate,unweighted,all
-1,0.0,0.0,0.0,0,True,homicide_rate,unweighted,all
0,0.01789103540466074,0.14226866677984784,0.12575527563174563,3092,False,homicide_rate,unweighted,all
1,0.30908150728304223,0.14854223987795992,2.0807650910406292,3092,False,homicide_rate,unweighted,all
