estimator,policy,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,age21_handgun,strict,or,5,0.0,0.1046701086415951,0.2071956126055069,0.2066043088545933,0.0836024863349569,0.1046701086415951,0.4061034007067935,-0.3014332920651984,0.5107735093483886,True
cs21,age21_handgun,strict,or,5,0.5,0.1046701086415951,0.2071956126055069,0.2066043088545933,0.0836024863349569,-0.515142817922185,0.6376311190705277,-1.1527739369927126,0.1224883011483427,True
cs21,age21_handgun,strict,or,5,1.0,0.1046701086415951,0.2071956126055069,0.2066043088545933,0.0836024863349569,-1.134955744485965,1.0637358035864293,-2.1986915480723943,-0.0712199408995357,False
cs21,age21_handgun,strict,or,5,2.0,0.1046701086415951,0.2071956126055069,0.2066043088545933,0.0836024863349569,-2.374581597613525,2.007828559197672,-4.382410156811197,-0.3667530384158532,False
cs21,age21_handgun,strict,ra,0,0.0,0.5646496822438629,0.2739901220660533,0.2088006321079882,0.1098670502943771,0.5646496822438629,0.5370206392494644,0.0276290429943985,1.1016703214933274,False
cs21,age21_handgun,strict,ra,0,0.5,0.5646496822438629,0.2739901220660533,0.2088006321079882,0.1098670502943771,0.4602493661898688,0.5477078904655028,-0.087458524275634,1.0079572566553716,True
cs21,age21_handgun,strict,ra,0,1.0,0.5646496822438629,0.2739901220660533,0.2088006321079882,0.1098670502943771,0.3558490501358746,0.5785864085622604,-0.2227373584263857,0.934435458698135,True
cs21,age21_handgun,strict,ra,0,2.0,0.5646496822438629,0.2739901220660533,0.2088006321079882,0.1098670502943771,0.1470484180278864,0.6883861036890483,-0.5413376856611618,0.8354345217169348,True
cs21,age21_handgun,strict,ra,1,0.0,0.0292710575821903,0.1541794755797556,0.2088006321079882,0.1098670502943771,0.0292710575821903,0.3021917721363209,-0.2729207145541306,0.3314628297185112,True
cs21,age21_handgun,strict,ra,1,0.5,0.0292710575821903,0.1541794755797556,0.2088006321079882,0.1098670502943771,-0.1795295745257979,0.3710672881566921,-0.55059686268249,0.1915377136308941,True
cs21,age21_handgun,strict,ra,1,1.0,0.0292710575821903,0.1541794755797556,0.2088006321079882,0.1098670502943771,-0.3883302066337862,0.5261217805025524,-0.9144519871363386,0.1377915738687662,True
cs21,age21_handgun,strict,ra,1,2.0,0.0292710575821903,0.1541794755797556,0.2088006321079882,0.1098670502943771,-0.8059314708497627,0.9128290695612368,-1.7187605404109996,0.1068975987114742,True
cs21,age21_handgun,strict,ra,2,0.0,0.2942356797672162,0.2077721649705363,0.2088006321079882,0.1098670502943771,0.2942356797672162,0.4072334433422511,-0.1129977635750349,0.7014691231094674,True
cs21,age21_handgun,strict,ra,2,0.5,0.2942356797672162,0.2077721649705363,0.2088006321079882,0.1098670502943771,-0.0189652683947661,0.5197826219303577,-0.5387478903251239,0.5008173535355915,True
cs21,age21_handgun,strict,ra,2,1.0,0.2942356797672162,0.2077721649705363,0.2088006321079882,0.1098670502943771,-0.3321662165567485,0.763661354341065,-1.0958275708978134,0.4314951377843165,True
cs21,age21_handgun,strict,ra,2,2.0,0.2942356797672162,0.2077721649705363,0.2088006321079882,0.1098670502943771,-0.9585681128807132,1.354694587103292,-2.3132626999840054,0.3961264742225788,True
cs21,age21_handgun,strict,ra,3,0.0,-0.0324954352096163,0.278863350536688,0.2088006321079882,0.1098670502943771,-0.0324954352096163,0.5465721670519085,-0.5790676022615248,0.5140767318422922,True
cs21,age21_handgun,strict,ra,3,0.5,-0.0324954352096163,0.278863350536688,0.2088006321079882,0.1098670502943771,-0.4500966994255927,0.6958630573382274,-1.1459597567638202,0.2457663579126346,True
cs21,age21_handgun,strict,ra,3,1.0,-0.0324954352096163,0.278863350536688,0.2088006321079882,0.1098670502943771,-0.8676979636415693,1.0201363521044444,-1.8878343157460136,0.1524383884628751,True
cs21,age21_handgun,strict,ra,3,2.0,-0.0324954352096163,0.278863350536688,0.2088006321079882,0.1098670502943771,-1.7029004920735222,1.8073431622556888,-3.510243654329211,0.1044426701821663,True
cs21,age21_handgun,strict,ra,4,0.0,-0.6289308282813784,0.4089484915636658,0.2088006321079882,0.1098670502943771,-0.6289308282813784,0.801539043464785,-1.4304698717461632,0.1726082151834066,True
cs21,age21_handgun,strict,ra,4,0.5,-0.6289308282813784,0.4089484915636658,0.2088006321079882,0.1098670502943771,-1.1509324085513488,0.9655485465035608,-2.116480955054909,-0.185383862047788,False
cs21,age21_handgun,strict,ra,4,1.0,-0.6289308282813784,0.4089484915636658,0.2088006321079882,0.1098670502943771,-1.6729339888213195,1.3422896364142982,-3.0152236252356177,-0.3306443524070213,False
cs21,age21_handgun,strict,ra,4,2.0,-0.6289308282813784,0.4089484915636658,0.2088006321079882,0.1098670502943771,-2.716937149361261,2.297731785371301,-5.014668934732562,-0.4192053639899593,False
cs21,age21_handgun,strict,ra,5,0.0,-0.1708275811441817,0.2639839777985786,0.2088006321079882,0.1098670502943771,-0.1708275811441817,0.517408596485214,-0.6882361776293957,0.3465810153410322,True
cs21,age21_handgun,strict,ra,5,0.5,-0.1708275811441817,0.2639839777985786,0.2088006321079882,0.1098670502943771,-0.7972294774681464,0.8276782239822685,-1.624907701450415,0.0304487465141221,True
cs21,age21_handgun,strict,ra,5,1.0,-0.1708275811441817,0.2639839777985786,0.2088006321079882,0.1098670502943771,-1.4236313737921111,1.391786622534996,-2.815417996327107,-0.0318447512571151,False
cs21,age21_handgun,strict,ra,5,2.0,-0.1708275811441817,0.2639839777985786,0.2088006321079882,0.1098670502943771,-2.6764351664400405,2.635364309449282,-5.311799475889322,-0.0410708569907587,False
stackdd,age21_handgun,single,eb,0,0.0,0.4988713937294468,0.1699015137086976,0.339036680896855,0.1472109407127163,0.4988713937294468,0.3330069668690473,0.1658644268603994,0.8318783605984941,False
stackdd,age21_handgun,single,eb,0,0.5,0.4988713937294468,0.1699015137086976,0.339036680896855,0.1472109407127163,0.3293530532810192,0.3629139388762175,-0.0335608855951982,0.6922669921572369,True
stackdd,age21_handgun,single,eb,0,1.0,0.4988713937294468,0.1699015137086976,0.339036680896855,0.1472109407127163,0.1598347128325917,0.4406190964684071,-0.2807843836358153,0.6004538093009988,True
stackdd,age21_handgun,single,eb,0,2.0,0.4988713937294468,0.1699015137086976,0.339036680896855,0.1472109407127163,-0.1792019680642632,0.6662580826831097,-0.845460050747373,0.4870561146188464,True
stackdd,age21_handgun,single,eb,1,0.0,-0.0852100920986437,0.2643598743223291,0.339036680896855,0.1472109407127163,-0.0852100920986437,0.5181453536717651,-0.6033554457704088,0.4329352615731213,True
stackdd,age21_handgun,single,eb,1,0.5,-0.0852100920986437,0.2643598743223291,0.339036680896855,0.1472109407127163,-0.4242467729954987,0.5930650518458755,-1.0173118248413742,0.1688182788503768,True
stackdd,age21_handgun,single,eb,1,1.0,-0.0852100920986437,0.2643598743223291,0.339036680896855,0.1472109407127163,-0.7632834538923537,0.7755519326833562,-1.5388353865757098,0.0122684787910024,True
stackdd,age21_handgun,single,eb,1,2.0,-0.0852100920986437,0.2643598743223291,0.339036680896855,0.1472109407127163,-1.4413568156860637,1.2651084453755894,-2.706465261061653,-0.1762483703104742,False
stackdd,age21_handgun,single,eb,2,0.0,0.4005823319821848,0.6624793435966722,0.339036680896855,0.1472109407127163,0.4005823319821848,1.2984595134494774,-0.8978771814672926,1.6990418454316625,True
stackdd,age21_handgun,single,eb,2,0.5,0.4005823319821848,0.6624793435966722,0.339036680896855,0.1472109407127163,-0.1079726893630977,1.3686902832611207,-1.4766629726242184,1.260717593898023,True
stackdd,age21_handgun,single,eb,2,1.0,0.4005823319821848,0.6624793435966722,0.339036680896855,0.1472109407127163,-0.6165277107083802,1.5605322943698623,-2.1770600050782427,0.9440045836614824,True
