estimator,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,broad,ra,4,1.0,-0.1577953547439872,0.1015723516548325,0.041655978058519,0.0294604769284336,-0.3660752450365822,0.3506972695094187,-0.7167725145460009,-0.0153779755271634,False
cs21,broad,ra,4,2.0,-0.1577953547439872,0.1015723516548325,0.041655978058519,0.0294604769284336,-0.5743551353291771,0.6107811384206993,-1.1851362737498763,0.0364260030915221,True
cs21,broad,ra,5,0.0,0.0583703728079377,0.1123777973699527,0.041655978058519,0.0294604769284336,0.0583703728079377,0.2202604828451072,-0.1618901100371695,0.2786308556530449,True
cs21,broad,ra,5,0.5,0.0583703728079377,0.1123777973699527,0.041655978058519,0.0294604769284336,-0.0665975613676193,0.2802186346556107,-0.34681619602323,0.2136210732879914,True
cs21,broad,ra,5,1.0,0.0583703728079377,0.1123777973699527,0.041655978058519,0.0294604769284336,-0.1915654955431762,0.4105434105226134,-0.6021089060657897,0.2189779149794371,True
cs21,broad,ra,5,2.0,0.0583703728079377,0.1123777973699527,0.041655978058519,0.0294604769284336,-0.4415013638942902,0.7270760116966293,-1.1685773755909197,0.285574647802339,True
cs21,strict,or,0,0.0,0.1673935915802067,0.1261992578611142,0.0351762259464916,0.0615744317041545,0.1673935915802067,0.2473505454077838,-0.0799569538275771,0.4147441369879905,True
cs21,strict,or,0,0.5,0.1673935915802067,0.1261992578611142,0.0351762259464916,0.0615744317041545,0.1498054786069609,0.2546047193040341,-0.1047992406970732,0.404410197910995,True
cs21,strict,or,0,1.0,0.1673935915802067,0.1261992578611142,0.0351762259464916,0.0615744317041545,0.132217365633715,0.2752224108370531,-0.143005045203338,0.4074397764707682,True
cs21,strict,or,0,2.0,0.1673935915802067,0.1261992578611142,0.0351762259464916,0.0615744317041545,0.0970411396872234,0.3456047232999779,-0.2485635836127544,0.4426458629872013,True
cs21,strict,or,1,0.0,0.0495479535767565,0.207466998545621,0.0351762259464916,0.0615744317041545,0.0495479535767565,0.4066353171494171,-0.3570873635726606,0.4561832707261736,True
cs21,strict,or,1,0.5,0.0495479535767565,0.207466998545621,0.0351762259464916,0.0615744317041545,0.0143717276302648,0.4241666703863454,-0.4097949427560805,0.4385383980166103,True
cs21,strict,or,1,1.0,0.0495479535767565,0.207466998545621,0.0351762259464916,0.0615744317041545,-0.0208044983162267,0.4728769539816179,-0.4936814522978447,0.4520724556653911,True
cs21,strict,or,1,2.0,0.0495479535767565,0.207466998545621,0.0351762259464916,0.0615744317041545,-0.09115695020921,0.6311842923965326,-0.7223412426057426,0.5400273421873226,True
cs21,strict,or,2,0.0,0.3523268876006514,0.1451369514518606,0.0351762259464916,0.0615744317041545,0.3523268876006514,0.2844684248456468,0.0678584627550046,0.6367953124462982,False
cs21,strict,or,2,0.5,0.3523268876006514,0.1451369514518606,0.0351762259464916,0.0615744317041545,0.2995625486809139,0.3371849963141663,-0.0376224476332524,0.6367475449950802,True
cs21,strict,or,2,1.0,0.3523268876006514,0.1451369514518606,0.0351762259464916,0.0615744317041545,0.2467982097611765,0.460443300260789,-0.2136450904996125,0.7072415100219656,True
cs21,strict,or,2,2.0,0.3523268876006514,0.1451369514518606,0.0351762259464916,0.0615744317041545,0.1412695319217016,0.7779879670134355,-0.6367184350917339,0.9192574989351372,True
cs21,strict,or,3,0.0,0.316688687576689,0.2389630207226104,0.0351762259464916,0.0615744317041545,0.316688687576689,0.4683675206163163,-0.1516788330396273,0.7850562081930054,True
cs21,strict,or,3,0.5,0.316688687576689,0.2389630207226104,0.0351762259464916,0.0615744317041545,0.2463362356837057,0.5269046088449044,-0.2805683731611987,0.7732408445286101,True
cs21,strict,or,3,1.0,0.316688687576689,0.2389630207226104,0.0351762259464916,0.0615744317041545,0.1759837837907224,0.672613904244612,-0.4966301204538895,0.8485976880353344,True
cs21,strict,or,3,2.0,0.316688687576689,0.2389630207226104,0.0351762259464916,0.0615744317041545,0.0352788800047559,1.0730952677315715,-1.0378163877268158,1.1083741477363276,True
cs21,strict,or,4,0.0,0.09603650382488,0.1474913414815787,0.0351762259464916,0.0615744317041545,0.09603650382488,0.2890830293038942,-0.1930465254790142,0.3851195331287742,True
cs21,strict,or,4,0.5,0.09603650382488,0.1474913414815787,0.0351762259464916,0.0615744317041545,0.0080959389586509,0.4178525664519284,-0.4097566274932775,0.4259485054105793,True
cs21,strict,or,4,1.0,0.09603650382488,0.1474913414815787,0.0351762259464916,0.0615744317041545,-0.0798446259075781,0.669100945797646,-0.7489455717052241,0.5892563198900679,True
cs21,strict,or,4,2.0,0.09603650382488,0.1474913414815787,0.0351762259464916,0.0615744317041545,-0.2557257556400363,1.2409985129623118,-1.496724268602348,0.9852727573222756,True
cs21,strict,or,5,0.0,0.3297428146390941,0.2046342472810849,0.0351762259464916,0.0615744317041545,0.3297428146390941,0.4010831246709264,-0.0713403100318322,0.7308259393100205,True
