term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,stack_id,treated_state,adoption_year,outcome,controls_spec,model
post,0.9708425841364157,0.10791550788804868,8.996321317818063,2.334074627300322e-19,0.7593281886758403,1.182356979596991,225,25,39,ID_2016,Idaho,2016,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.05128261939597408,0.0677422040756455,0.7570261419115986,0.4490342008222641,-0.08149210059229109,0.18405733938423927,225,25,39,ID_2016,Idaho,2016,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,1.0221252035323927,0.12454058364074416,8.20716567766267,2.264709673493239e-16,0.7780256595965341,1.2662247474682513,225,25,39,ID_2016,Idaho,2016,total_suicide_rate,core_controls,treated_state_average_post
post,0.014206501018150266,0.004623275391759889,3.072821714983853,0.002120451306855169,0.005144881250300885,0.023268120785999647,225,25,39,ID_2016,Idaho,2016,firearm_suicide_share,core_controls,treated_state_average_post
post,0.06292200189041543,0.013176551798626281,4.775301069053237,1.7943859539336788e-06,0.03709596036510791,0.08874804341572294,225,25,39,ID_2016,Idaho,2016,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.004318755290265779,0.013562393207682304,0.3184360771828571,0.7501541757530157,-0.022263535396791538,0.030901045977323092,225,25,39,ID_2016,Idaho,2016,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.03905574022816818,0.009267559672916831,4.2142421097436475,2.506183326851478e-05,0.020891323269251187,0.05722015718708517,225,25,39,ID_2016,Idaho,2016,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.058668552128944784,0.01907037851258758,3.0764230552749683,0.0020950036627745408,0.02129061024427313,0.09604649401361644,225,25,39,ID_2016,Idaho,2016,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.7171855039230478,0.18638562470316739,3.8478584658297423,0.00011915485490198679,0.3518696795048397,1.082501328341256,105,15,27,IN_2022,Indiana,2022,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.4229542425099392,0.1541412107428856,2.743940056468388,0.006070662201103241,0.12083746945388346,0.725071015565995,105,15,27,IN_2022,Indiana,2022,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,1.140139746432982,0.27279069495679853,4.179540459081804,2.920987507852013e-05,0.605469984317657,1.6748095085483072,105,15,27,IN_2022,Indiana,2022,total_suicide_rate,core_controls,treated_state_average_post
post,0.003105881259420758,0.004675759208720051,0.664251754801327,0.5065291937880754,-0.006058606789670541,0.012270369308512056,105,15,27,IN_2022,Indiana,2022,firearm_suicide_share,core_controls,treated_state_average_post
post,0.06387905623710093,0.020216823987344642,3.159697897013301,0.0015793280428392528,0.02425408122190543,0.10350403125229643,105,15,27,IN_2022,Indiana,2022,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.050377842455886536,0.018340345683927506,2.746831675044979,0.006017400856060545,0.014430764915388625,0.08632491999638445,105,15,27,IN_2022,Indiana,2022,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.06381315221944961,0.016970290355223287,3.7602864113523284,0.00016971893042204363,0.03055138312321197,0.09707492131568725,105,15,27,IN_2022,Indiana,2022,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.01355645547786696,0.01900648510690491,0.7132542077936338,0.47568846803359344,-0.023696255331666662,0.05080916628740058,105,15,27,IN_2022,Indiana,2022,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,-0.21547946836447146,0.10572362669017596,-2.038139204171798,0.04153601343054142,-0.4226977766772163,-0.008261160051726585,234,26,40,KS_2015,Kansas,2015,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.877874575521497,0.11481213433092605,7.646182876377647,2.070331701777128e-14,0.6528427922328819,1.102906358810112,234,26,40,KS_2015,Kansas,2015,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.6623951071570263,0.13093880576584596,5.058814331494425,4.2187138094216833e-07,0.4057550478559682,0.9190351664580845,234,26,40,KS_2015,Kansas,2015,total_suicide_rate,core_controls,treated_state_average_post
post,-0.030931863511500683,0.006215343210366684,-4.97669436177054,6.467932778706745e-07,-0.043113936203819384,-0.01874979081918198,234,26,40,KS_2015,Kansas,2015,firearm_suicide_share,core_controls,treated_state_average_post
post,-0.020141255632037492,0.010218133287024242,-1.9711286852770242,0.04870915840764545,-0.040168796874605006,-0.00011371438946997797,234,26,40,KS_2015,Kansas,2015,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.10139115542339559,0.021064107522703466,4.813456032452999,1.483422498902075e-06,0.060105504678896804,0.14267680616789438,234,26,40,KS_2015,Kansas,2015,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.0408048806457747,0.008807251322934136,4.633100515653339,3.6022952423117942e-06,0.023542668052823793,0.05806709323872561,234,26,40,KS_2015,Kansas,2015,ln_total_suicide_rate,core_controls,treated_state_average_post
post,-0.12142784306106282,0.02597846022488323,-4.674173989140214,2.9513904950965767e-06,-0.17234562510183393,-0.0705100610202917,234,26,40,KS_2015,Kansas,2015,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,-0.45636325410393924,0.13597423743620107,-3.356247938643997,0.0007900770380593951,-0.7228727594788933,-0.18985374872898514,162,18,32,KY_2019,Kentucky,2019,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.5215171719199537,0.08817991630108574,5.914239815552336,3.334118134047042e-09,0.3486845359698257,0.6943498078700818,162,18,32,KY_2019,Kentucky,2019,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.0651539178160166,0.1693971688438089,0.38462223578300275,0.7005173174014041,-0.26686453311784886,0.39717236874988204,162,18,32,KY_2019,Kentucky,2019,total_suicide_rate,core_controls,treated_state_average_post
post,-0.03547734131152643,0.0033185606384517,-10.690581000827715,1.1266298617756703e-26,-0.04198172016289176,-0.0289729624601611,162,18,32,KY_2019,Kentucky,2019,firearm_suicide_share,core_controls,treated_state_average_post
post,-0.06496038277789552,0.01363808002086578,-4.763161873116189,1.90582835300104e-06,-0.09169101961879245,-0.0382297459369986,162,18,32,KY_2019,Kentucky,2019,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.0824501304971129,0.012383417278308757,6.658108068564849,2.7737480414765693e-11,0.058178632631627744,0.10672162836259806,162,18,32,KY_2019,Kentucky,2019,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
