term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,cohort_year,treated_states,outcome,controls_spec,model
post,0.03959806028166647,0.015224420202168494,2.6009568677056296,0.009296414150311171,0.009758196685416224,0.06943792387791672,234,26,40,2016,Idaho;West Virginia,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.6075853762708687,0.2550149040400993,2.3825484967550374,0.017193267163912094,0.10775616435227409,1.1074145881894633,243,27,41,2017,Missouri;New Hampshire;North Dakota,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.0771575398153162,0.2571983960094222,0.2999923055993305,0.7641830247301937,-0.42695131636315126,0.5812663959937836,243,27,41,2017,Missouri;New Hampshire;North Dakota,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.6847429160861812,0.37915506338153915,1.8059706495258714,0.07092292427256414,-0.05840100814163551,1.427886840313998,243,27,41,2017,Missouri;New Hampshire;North Dakota,total_suicide_rate,core_controls,cohort_year_average_post
post,0.014116030054987804,0.007849002043644589,1.7984490227541332,0.07210588009458142,-0.0012680139505555892,0.0295000740605312,243,27,41,2017,Missouri;New Hampshire;North Dakota,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.052490426663742956,0.029294624635335064,1.7918108634998247,0.0731632680520131,-0.004927037621513766,0.10990789094899968,243,27,41,2017,Missouri;New Hampshire;North Dakota,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,-0.005889063100148043,0.02752312034445936,-0.21396785780263325,0.8305721224648945,-0.059834378975288385,0.0480562527749923,243,27,41,2017,Missouri;New Hampshire;North Dakota,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.024884930428541216,0.021816320000396038,1.1406566473213389,0.25401283400905217,-0.01787505677223502,0.06764491762931746,243,27,41,2017,Missouri;New Hampshire;North Dakota,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,0.05841298976059761,0.03298006115314143,1.7711607473788338,0.07653397457444723,-0.006227930099559589,0.12305390962075481,243,27,41,2017,Missouri;New Hampshire;North Dakota,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.2808653624854659,0.34269504669985007,0.8195781211027021,0.41245665041815993,-0.3908169290462402,0.952547654017172,180,20,34,2019,Kentucky;Oklahoma;South Dakota,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.6292452157604675,0.12756730860160082,4.9326525946050355,8.112036059097383e-07,0.37921329090132994,0.8792771406196052,180,20,34,2019,Kentucky;Oklahoma;South Dakota,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.910110578245935,0.4250811087181071,2.141028052247496,0.03227177593039572,0.07695160515844501,1.7432695513334249,180,20,34,2019,Kentucky;Oklahoma;South Dakota,total_suicide_rate,core_controls,cohort_year_average_post
post,-0.01981189164961293,0.007318944906257564,-2.706932748280989,0.006790801238806546,-0.03415702366587776,-0.0054667596333481065,180,20,34,2019,Kentucky;Oklahoma;South Dakota,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.003967743714485827,0.034054735653476984,0.11651077708720142,0.9072477453877434,-0.06277953816632906,0.07071502559530071,180,20,34,2019,Kentucky;Oklahoma;South Dakota,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.08463785122465156,0.015892090765087533,5.325784534945385,1.0051822936404582e-07,0.053489353325079994,0.11578634912422313,180,20,34,2019,Kentucky;Oklahoma;South Dakota,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.042021743188724474,0.022454491376077357,1.8714181713104285,0.06128714216936346,-0.0019890599083871446,0.08603254628583609,180,20,34,2019,Kentucky;Oklahoma;South Dakota,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,-0.08077180521027891,0.030912451978571013,-2.6129213323573026,0.008977196315073904,-0.1413602110882781,-0.020183399332279722,180,20,34,2019,Kentucky;Oklahoma;South Dakota,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.47873630787359905,0.4114105168758393,1.163646256563923,0.2445673975013114,-0.3276283052030459,1.285100920950244,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.20827656717593002,0.1954303134178859,1.0657331686849172,0.28654427932905835,-0.1747668471231263,0.5913199814749863,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.6870128750495282,0.44738672721752043,1.5356130015799532,0.1246333235123307,-0.18986511029681175,1.563890860395868,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,total_suicide_rate,core_controls,cohort_year_average_post
post,0.0009539411635071803,0.008960396751333614,0.10646193354833323,0.915215856345465,-0.016608436469106702,0.018516318796121062,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.03769233916201239,0.03209259249810173,1.174487201812751,0.24019993522007377,-0.025209142134266997,0.10059382045829177,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.03067646264794545,0.03134523661385935,0.9786642553012919,0.32774589913842633,-0.030760201115218877,0.09211312641110977,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.03722900258294153,0.022996287079530314,1.6189136295867599,0.10546584789984265,-0.007843720092937878,0.08230172525882094,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,0.0069637191252521664,0.03835952513725815,0.18153819945201535,0.855945152409779,-0.0682209501437738,0.08214838839427813,160,20,33,2021,Arkansas;Iowa;Montana;Tennessee;Texas;Utah,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.39726244952168405,0.25242120594364537,1.5738077473981145,0.11553190242251228,-0.09748311412786087,0.8920080131712289,119,17,29,2022,Georgia;Indiana;Ohio,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.12880499696526723,0.2387090968979971,0.5395898130363542,0.5894799434528795,-0.33906483295480705,0.5966748268853416,119,17,29,2022,Georgia;Indiana;Ohio,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.5260674464869501,0.42090429712074984,1.24985050066151,0.21135416427147857,-0.29890497586971954,1.3510398688436198,119,17,29,2022,Georgia;Indiana;Ohio,total_suicide_rate,core_controls,cohort_year_average_post
post,0.004451951723926344,0.007018287510440542,0.6343358999333575,0.5258616324386622,-0.00930389179653712,0.018207795244389806,119,17,29,2022,Georgia;Indiana;Ohio,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.034444530442312306,0.02577531253532165,1.3363380325693681,0.18143881069578893,-0.016075082126918126,0.08496414301154273,119,17,29,2022,Georgia;Indiana;Ohio,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.01632791951202045,0.030570375509717675,0.5341092230558355,0.5932659690352124,-0.04359001648702619,0.07624585551106709,119,17,29,2022,Georgia;Indiana;Ohio,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.028901637463023974,0.025400892824097913,1.1378197476430787,0.25519575725877697,-0.020884112472207936,0.07868738739825588,119,17,29,2022,Georgia;Indiana;Ohio,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,0.01816970838005965,0.027696986441694407,0.6560175208342302,0.511812851049267,-0.036116385045661385,0.07245580180578068,119,17,29,2022,Georgia;Indiana;Ohio,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.11511241342509784,0.29340477328193704,0.3923331312489746,0.6948120867464946,-0.4599609422074987,0.6901857690576944,102,17,28,2023,Alabama;Florida;Nebraska,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.07329291385786518,0.2291616652980023,0.3198306041394617,0.7490967464375093,-0.3758639501262193,0.5224497778419497,102,17,28,2023,Alabama;Florida;Nebraska,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.1884053272829641,0.48142371043069404,0.39135032862093944,0.6955383023587434,-0.7551851451611962,1.1319957997271244,102,17,28,2023,Alabama;Florida;Nebraska,total_suicide_rate,core_controls,cohort_year_average_post
post,0.0046866667028448075,0.009131619065057281,0.5132350210247638,0.6077869311561968,-0.013211306664667464,0.022584640070357077,102,17,28,2023,Alabama;Florida;Nebraska,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.0157218256933433,0.032480131260840636,0.4840444013937275,0.6283543579930567,-0.04793923157790434,0.07938288296459095,102,17,28,2023,Alabama;Florida;Nebraska,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.0008176690539459242,0.045015378138790814,0.018164216046900637,0.9855078493818025,-0.08741247209808407,0.08904781020597592,102,17,28,2023,Alabama;Florida;Nebraska,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.005086120349379307,0.03154786242414655,0.16121917488414114,0.8719207792913181,-0.056747690001947924,0.06691993070070654,102,17,28,2023,Alabama;Florida;Nebraska,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,0.014813609304237044,0.03970800753885641,0.37306352603416665,0.7091011642089132,-0.06301408547192151,0.0926413040803956,102,17,28,2023,Alabama;Florida;Nebraska,logit_firearm_suicide_share,core_controls,cohort_year_average_post
